char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
14927b142269,Granuk Harkonnen,Dune,death: 10102 AG,He had killed every son but Gunseng to better his chances of dying quietly in bed. Granuk's death occurred within days.,"Not to be confused with the Emperor: Battle for Dune character Rakan Harkonnen Granuk Harkonnen (d. 10102 AG) was the father of Gunseng Harkonnen, and Vladimir Harkonnen's grandfather of whom was said that in his youth he had been ""the picture of his grandfather Granuk"". He had killed every son but Gunseng to better his chances of dying quietly in bed. Granuk succumbed to a nervous disease that reduced him to a skeleton, and barricaded himself in chambers behind protection only a tyrant would find inadequate. The mysterious poetic wanderer Reeve Benin called Granuk an an ""old swine"" who ""(...) had vices in number to match his jowls"" and mentioned that he ""(...) never smelled so foul a moral stench as that of his castle"". He gave his observations of several Great Houses and his first visit to Giedi Prime in his volume, ""Pearls Before Swine"". Gunseng, then twenty-three, seemed incapable of controlling the rowdy house. While his father lay on his deathbed, Gunseng knew his survival wa"
f647ad9c9026,George Black,The Twilight Saga,died: 1999-2000 (in a car accident) | species: Human | gender: Male,"He died in a car accident when his children were still young. George died in a car accident sometime between 1999 and 2000. Adam and Aaron took their father's death so badly that they were unable to stay in La Push, as the reservation contained too many painful memories.","George Black is the late father of Adam, Aaron, and Julie Black and husband of Bonnie Black. He died in a car accident when his children were still young. His Twilight Saga counterpart is Sarah Black. Biography Little is known about George, as he was rarely mentioned in the story. George died in a car accident sometime between 1999 and 2000. Adam and Aaron took their father's death so badly that they were unable to stay in La Push, as the reservation contained too many painful memories. Julie, however, recovered faster because her brothers took care of her. She was younger, so she didn't remember her father much. Mentioned in Life and Death: Twilight Reimagined Category:Mentioned characters Category:Deceased characters Category:Quileute"
d25a8f0afb3a,Punter,Star Wars,death: Sometime during the Imperial Era | species: Chadra-Fan | gender: Male,,"Punter was a male Chadra-Fan who worked on Gunda Mabin's Blazing Claw flagship Bloody Bones. He woke the captain to tell her that the ship was leaking Coaxium due to a leak in the reactor. She forced him to weld a deck plate to fix the leak, causing him to die from radiation exposure. Sources Star Wars: Smuggler's Guide Notes and references Category:Chadra-Fan Category:Males Category:Pirates"
1f889dc96bf2,Albert Einstein,Harry Potter,born: 14 March 1879 | died: 18 April 1955 | species: Human | gender: Male,,"Albert Einstein (14 March 1879 – 18 April 1955) was a German-born Muggle theoretical physicist known for his development of the . The back cover blurb on the book A Brief History of Time called its author Stephen Hawking ""the most brilliant theoretical physicist since Einstein."" - Chapter 4 (The Leaky Cauldron) Appearances Notes and references es:Albert Einstein pt-br:Albert Einstein Category:1879 births Category:1955 deaths Category:American individuals Category:Emigrants Category:German individuals Category:Males Category:Non-magic people Category:Physicists"
2de60cc1507a,Chiang Kai-Shek,Indiana Jones,"gender: Male | birth: 31 October 1887Fenghua, China | death: 5 April 1975Taipei, Taiwan","Later in their adventures, U Paw commandeered a train containing some of Chiang's army, and killed Captain Lao-Tsing. Appearances
Indiana Jones and the Temple of Doom novel 
 
Indiana Jones: Thunder in the Orient 
Indiana Jones and the Infernal Machine  

Sources
The World of Indiana Jones

External links

Category:Chinese
Category:Chinese military personnel
Category:Historical figures
Category:Political leaders
Category:Deceased
Category:Generals","Chiang Kai-Shek was the Chinese military and political leader who led the national government of China from 1928 to 1947, and the government of the Republic of China (Taiwan) to 1975. In the 1930's, he was the military leader of the Kuomintang, the Chinese nationalist party, and served as President of the Republic of China at various times. He led the Chinese against the Japanese in the Second Sino-Japanese War, starting in 1937, but also sent forces to remove the warlords controlling various provinces of China. Biography Singer Willie Scott claimed to have been a personal dinner guest of Chiang Kai-Shek. In 1938, Chiang Kai-Shek's forces had already taken control of the warlord U Paw's province, earning her emnity. When she returned from looting Chanri-Ha, she discussed her hatred of Generalissimo Chiang, whom Indiana Jones had believed was a hero unifying China. Later in their adventures, U Paw commandeered a train containing some of Chiang's army, and killed Captain Lao-Tsing. Aft"
0d61280556eb,Waif,Game of Thrones,"Death: 303 ACBraavos | Appearances: 11 episodes | First: ""High Sparrow"" | Last: ""No One"" | DeathEp: ""No One"" | Actor: Faye Marsay'''Disguises'''Margaret Jackman Adam Turns","Later, Jaqen leads Arya into the basement of the building where the bodies of those who come to seek the mercy of a quick death are taken. Instead of assassinating the Thin man, Arya murders Ser Meryn Trant to avenge the death of Syrio Forel. The Waif comes the next day, disguised as a young man, and kills Lady Crane, who had been sheltering Arya.","The Waif was an acolyte of the Faceless Men serving in the House of Black and White in Braavos. Biography Background When playing the game of faces with Arya, the Waif claimed that prior to joining the Faceless Men she was the daughter of a widowed lord from Westeros who remarried another woman and produced a second daughter. Her jealous stepmother then tried to poison her. The woman who became the Waif discovered this plot and sought the help of the Faceless Men. She subsequently found her way to the House of Black and White. Since the point of the game of faces is to mix lies with the truth convincingly, it can be presumed that parts of her story were false and other parts were true. Game of Thrones: Season 5 thumb|Arya is accosted by the Waif. The Waif has a sour demeanor and low opinion of Arya Stark when she arrives at the House of Black and White. When Arya presumes to claim that she is ""no one""—a skill that the Faceless Men only achieve through dedicated training—the Waif beco"
2a1132dcd32c,Hardang,Lord of the Rings,birth: FA 470 | death: FA 501 | gender: Male,"After the death of the Halbar of Brethil, Handir, Hardang tried to supersede his cousin, Brandir, in acquiring the leadership of the Men of Brethil. He tried to flee from the burning structure, but was hit in the back by a spear while running away, and perished.","Hardang was a man, and Halbar of the Men of Brethil during the First Age. Biography Hardang was a descendant of Halmir of the House of Haleth. His father was Hundad, and his grandfather was Hundar. After the death of the Halbar of Brethil, Handir, Hardang tried to supersede his cousin, Brandir, in acquiring the leadership of the Men of Brethil. Many Haladin believed Brandir to be unfit to rule them, and therefore supported Hardang. Many people wanted Brandir's cousin Manthor to assume the role of Halbar instead. Unfortunately for him and his supporters, he was related to Brandir by a daughter, which meant that his kinship with Brandir was worth less in the eyes of the people. Hardang then won the vote, and became the Halbar of the Men of Brethil in FA 499. Upon becoming Halbar, Hardang chose Manthor to be the Captain of the Guards at the Crossings of Taeglin. Within two years of ruling Brethil, whispers of the return of Húrin began echoing throughout Brethil. Hardang harbored res"
3b6e9ad4626c,Eric Brand,Pirates of the Caribbean,gender: Male | died: c. 1740 | first: ''Dead Men Tell No Tales''(2013 screenplay) | last: ''Dead Men Tell No Tales''(2013 screenplay),"When John Brand realized he had caused Eric's death, he swore revenge on Jack Sparrow. As he watched the pirate ship sinking, John saw his brother's dead body onboard, and he realized he had killed the only family he had left. Legacy

Eric's death left John as the only surviving member of their family.","Eric Brand was an English adventurer during the golden age of piracy. Originally a soldier in the British Royal Navy, Eric served aboard the Silent Mary under the command of his own brother, Captain John Brand. He was lost at sea when a cannon fire from a Spanish ship blew him overboard, but he was saved from drowning by the pirate crew of the Black Pearl. Eric eventually became a pirate himself, serving under Captain Jack Sparrow, until he gained command of his own ship. However, Eric's ship was attacked and destroyed by the Silent Mary. When John Brand realized he had caused Eric's death, he swore revenge on Jack Sparrow. Biography British Royal Navy Not much is known about Eric Brand's early life, except that he had a brother named John. Both brothers eventually joined the British Royal Navy, with John rising in ranks until he became the captain of a powerful warship, the Silent Mary. Eric, on the other hand, became a simple soldier, but served aboard the Mary as well, always clos"
a84ab140cd49,Pruwet Richese,Dune,birth: 19 AG | death: 28 AG | last: ''The Hidden Hand'' | portrayed: Charlie Hodson-Prior,,"Lord Pruwet Richese was the child of Ferdinand and Orla Richese. He was was betrothed to Ynez Corrino. Biography Pruwet was just nine years old when he was betrothed to Ynez Corrino in a deal their fathers arranged. Pruwet and his family traveled to the Corrinos for the ceremony. At the engagement ceremony, Ynez tried to get to know Pruwet, but he said they didn't need to talk as the ceremony was just a formality. At the engagement party, Pruwet revealed to Ynez that he had a thinking machine toy in his pocket. When it got free, Natalya Arat Corrino screamed, as the technology was prohibited. After seeing Ynez defend Pruwet, Javicco decided they could overlook it, though Ynez told Pruwet she'd stab him if he pulled anything like that after they were married and demanded he get rid of the toy. Despite this, Pruwet hid himself away and played with his toy. Desmond Hart found him and told him he had a great power, which he was using to win a war. That required sacrifice and he promised"
4fe1d2725add,Francesco Solimena,The Twilight Saga,"born: October 4, 1657; Canale di Serino, Italy | died: April 3, 1747 | species: Human | gender: Male","Life and Death: Twilight Reimagined
In the alternate story of Life and Death: Twilight Reimagined, Solimena painted a portrait of Sulpicia, Athenodora, Marcus, Mele, and Carine instead. Mentioned in
Twilight
Midnight Sun
Life and Death: Twilight Reimagined

External links
Francesco Solimena on Wikipedia

Category:Mentioned characters
Category:Deceased characters
Category:Humans","Francesco Solimena was a famous Italian painter who lived in the 17th century, during the Baroque era. Biography Twilight thumb|left|200px|Solimena's portrait of the Volturi. Francesco was an Italian painter who favored the Baroque style, and painted a portrait of Aro, Caius, Marcus, and Carlisle (who was living with the Volturi at the time). He especially enjoyed painting the Volturi leaders as gods due to their transcendent beauty. Carlisle kept one of his paintings when he traveled to the New World, which Edward showed Bella for the first time in Twilight (New Moon being the first time in the movies). Life and Death: Twilight Reimagined In the alternate story of Life and Death: Twilight Reimagined, Solimena painted a portrait of Sulpicia, Athenodora, Marcus, Mele, and Carine instead. Mentioned in Twilight Midnight Sun Life and Death: Twilight Reimagined External links Francesco Solimena on Wikipedia Category:Mentioned characters Category:Deceased characters Category:Humans"
6e04534fb236,Cope Shykrill's brother,Star Wars,"death: before 25,008 BBY | species: Human | gender: Male",He died three years before the birth of Cope.,This Human male was the brother of the fallen Jedi Cope Shykrill. He died three years before the birth of Cope. Sources Jedi vs. Sith: The Essential Guide to the Force Category:Humans Category:Males
0252f7acd462,Ignatia Wildsmith,Harry Potter,born: 1227 | died: 1320 (aged 92–93) | species: Human | gender: Female,"Death and post-mortem
200px|thumb|right|Ignatia Wildsmith immortalised on a Chocolate Frog Card
Wildsmith died in 1320, aged around 93.","Ignatia Wildsmith (1227–1320) was a witch and wizarding inventor, who was famously the creator of Floo powder. During her childhood, she attended Hogwarts School of Witchcraft and Wizardry, and was sorted into Ravenclaw. Biography Early life Ignatia Wildsmith was born in 1227, somewhere in the British Isles. In her youth, she attended Hogwarts School of Witchcraft and Wizardry from 1238 or 1239 to 1245 or 1246, where she was Sorted into Ravenclaw. One night, she was faced with a particularly challenging riddle from the eagle door knocker and had to spend two days sleeping in the corridor outside the Ravenclaw common room. Much later in the 1980s, Tulip Karasu and her friend guessed that this was when she first had the idea to create a method of travel that allowed people to get around doors. Adulthood After her graduation from Hogwarts, Wildsmith presumably studied further into Herbology and discovered the magical properties of the Floo plant. From it, she devised a magical powder,"
6aff08125699,Walter Donovan,Indiana Jones,"gender: Male | birth: c. late 1870s-early 1880s | death: 1938Temple of the Sun, Canyon of the Crescent Moon, Republic of Hatay","Learning of Donovan's nature, Indy privately speculated that Donovan may have been the same anonymous collector who had offered to buy the Cross of Coronado from Panama Hat, in a bad state financially following the Great Depression, in exchange for the archaeologist's death earlier that year off the Portuguese coast before plans possibly changed due to his survival and the Grail diary's disappearance. Shortly afterwards, after a brief stop at an oasis, a surprise attack from the Brotherhood of the Cruciform Sword was launched, and though some of Donovan's men were killed, the Brotherhood was mostly wiped out, including Kazim. After the death of another soldier, Donovan demanded more 'volunteers' but with the subsequent arrival and capture of Jones and his allies, Donovan directed Indy to g","Walter Donovan was a wealthy American industrialist and collector of antiquities who allied himself with the Nazis in order to obtain the Holy Grail, which he sought for its fabled gift of immortality. Around 1938, Donovan hired Professor Henry Walton Jones, Senior in order to track down the missing part of his Grail tablet, a marker to the Grail's resting place, but when Jones learned that his Austrian assistant Elsa Schneider was in fact an enemy agent, the Nazis took him prisoner. Donovan subsequently hired Jones' son, Indiana, to continue his father's work. However, Jones eventually managed to free his father from Castle Brunwald and escape from Donovan's clutches. After the Joneses and their friends reached the Temple of the Sun in the Republic of Hatay behind Donovan and the Nazis, the industrialist shot the elder Jones to force his son into braving the traps protecting the relic. Donovan and Schneider followed him to the Holy Grail but found that there was a lethal final test:"
e31da4d4317f,Mazor Alexi,Game of Thrones,"Death: Century of BloodField of Crows, Kingdom of Sarnor","The chariots broke through the Dothraki cavalry, and the khalasar of Khal Haro fled the battle after Haro was killed.","Mazor Alexi was the last High King of the Kingdom of Sarnor. Biography When the Dothraki led by Khal Moro destroyed the city of Sathar, the Sarnori assembled under Alexi as their High King. Having gathered a large army to break the power of the Dothraki once and for all, the Sarnori met them in battle in what became known as the Field of Crows. The four Dothraki khals commanded nearly 80,000 horsemen, while the Sarnori had 100,000 foot soldiers, 10,000 armored riders, 10,000 light horsemen and 6,000 scythed chariots. The chariots broke through the Dothraki cavalry, and the khalasar of Khal Haro fled the battle after Haro was killed. When the chariots pursued the fleeing cavalry, Alexi and his armored riders followed, the foot soldiers behind them, and the Sarnori appeared victorious. However, the Dothraki had merely set a trap, and the fleeing horsemen turned and fire a volley of arrows at the Sarnori. Two khalasars attacked their flanks while another attacked from the rear, cutting "
859d47e68637,Longo Baggins,Lord of the Rings,birth: TA 2860 (SR 1260) | death: TA 2950 (SR 1350) | gender: Male,,"Longo Baggins was the third child of Mungo and Laura Baggins and the uncle of Bilbo Baggins. Biography Longo married Camellia Sackville and as a result sired the Sackville-Baggins family with the birth of their son, Otho., Appendix C: Family Trees, Baggins of Hobbiton Translations Foreign LanguageTranslated nameArabicلونغو باجنزArmenianԼոնգո ԲագգինսAsturianLongo BolsonaBasqueLongo ZorrozabalBretonLongo Sac'hegCatalanLongo BolsónChinese隆戈·巴金斯ColognianLongo BüggelsCzechLongo PytlíkDanishLongo SækkerDutchLongo BalingsEstonianLongo PaunasteFinnishLongo ReppuliFrenchLongo SacquetGalicianLongo BulseiroGeorgianლონგო ბაგგინსGermanLongo BeutlinGreekΛόνγκο ΜπάγκινςHebrewלונגו באגינסHungarianZsákos LongoIcelandicLongo BaggiIrish GaelicLongo BaigínsJapaneseロンゴ・バギンズKorean롱고 배긴스KurdishLongo Torbikan (Kurmanji)LatvianLongo BaginssMacedonian CyrillicЛонго БаггинсNorwegianLongo Lommelun / Longo SkreppingPersianلونگو بگینزPortugueseLongo Bolseiro (Brazil)RussianЛонго ТорбинсSlovakLongo LazníkSloveni"
