Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
Annie Cresta,https://thehungergames.fandom.com/wiki/Annie_Cresta,https://static.wikia.nocookie.net/thehungergames/images/2/22/AnnieAndBabyMJ2.jpg/revision/latest/scale-to-width-down/268?cb=20190306051017,Victors' Village in District 4 The Capitol & District 13 (briefly),18 ( 70th Hunger Games ) 23 ( Catching Fire ) [ 1 ] 23-24 ( Mockingjay ),,,,,Catching Fire Mockingjay - Part 1 Mockingjay - Part 2,Sea-green (book) [ 2 ] Blue (films),,,,,,,,,,,,,,Victor ( 70th Hunger Games ) Career Tribute Mother,,,,,,,Finnick Odair † (husband) Unnamed son,Brown (book) [ 2 ] Red (films),,Alive,Catching Fire Mockingjay,Stef Dawson,,,,,,Female
Apollo Ring,https://thehungergames.fandom.com/wiki/Apollo_Ring,https://static.wikia.nocookie.net/thehungergames/images/1/16/ApolloRing_.jpg/revision/latest/scale-to-width-down/268?cb=20231206014407,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,Pollo,Diana Ring (twin sister),,,Deceased (book) Unknown (film),The Ballad of Songbirds and Snakes,Aaron Finn Schultz,,,,,,Male
Arachne Crane,https://thehungergames.fandom.com/wiki/Arachne_Crane,https://static.wikia.nocookie.net/thehungergames/images/6/6a/Arachnec.jpg/revision/latest/scale-to-width-down/268?cb=20231222122257,The Capitol,18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,Unnamed older brother Seneca Crane (unknown relation),,,Deceased (killed by Brandy ),The Ballad of Songbirds and Snakes,Lilly Cooper,,,,,,Female
Arlo Chance,https://thehungergames.fandom.com/wiki/Arlo_Chance,https://static.wikia.nocookie.net/thehungergames/images/6/68/Arlo_Chance.jpg/revision/latest/scale-to-width-down/268?cb=20231222170315,District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Rebel soldier (formerly) Coal miner,,,,,,,Woodbine Chance † (descendant) Binnie Chance † (descendant) Clay Chance † (descendant),,,Deceased,The Ballad of Songbirds and Snakes,Raphael Zari,,,,,,Male
Asterid Everdeen,https://thehungergames.fandom.com/wiki/Asterid_Everdeen,https://static.wikia.nocookie.net/thehungergames/images/3/3f/Mrs_everdeen.jpg/revision/latest/scale-to-width-down/268?cb=20120418200927,The Seam (formerly) Victors' Village in District 12 (formerly) [ 4 ] District 13 (briefly) District 4 [ 5 ],16 ( Sunrise on the Reaping ) 40 ( The Hunger Games ) 41-42 ( Catching Fire & Mockingjay ),,,,,The Hunger Games film The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Blue (books [ 1 ] and films),,,,,,,,,,,,,,Healer [ 1 ] [ 2 ] [ 3 ] Mother Merchant / pharmacist (formerly),,,,,,,Burdock Everdeen † (husband) Katniss Everdeen (oldest daughter) Primrose Everdeen † (youngest daughter) Peeta Mellark (son-in-law) Unnamed granddaughter Unnamed grandson,Pale blonde (books [ 1 ] and films),,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Paula Malcomson (original trilogy) Grace Ackary (SOTR) Ruth Everett ( stage ),,,,,,Female
Atala,https://thehungergames.fandom.com/wiki/Atala,https://static.wikia.nocookie.net/thehungergames/images/c/c8/Atala.jpg/revision/latest/scale-to-width-down/268?cb=20120208235030,The Capitol,,,,,,The Hunger Games film,,,,,,,,,,,,,,,Head trainer,,,,,,,,,,Unknown,The Hunger Games,Karan Kendrick,,,,,,Female
Atread,https://thehungergames.fandom.com/wiki/Atread,,District 6,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’7” (film),,“Dove” (by Haymitch),,Black (film),,Deceased,Sunrise on the Reaping,Deyar Alkalash,,,,,,Male
Autumn,https://thehungergames.fandom.com/wiki/Autumn,https://static.wikia.nocookie.net/thehungergames/images/4/4b/AutumnSOTR.png/revision/latest?cb=20260604031458,District 7,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Blue (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,4’11” (film),,,,Blonde (film),,Deceased,Sunrise on the Reaping,Madeleine Wagenitz,,,,Knife (film),,Female
Annie and Finnick Odair's son,https://thehungergames.fandom.com/wiki/Baby_Odair,https://static.wikia.nocookie.net/thehungergames/images/6/6b/AnnieFinnickSon.jpeg/revision/latest/scale-to-width-down/268?cb=20250403003543,Victors' Village in District 4,Newborn [ 1 ] ( Mockingjay ),Mockingjay - Part 2,,,,,,,,,,,,,,,,,,,,,,,,,,Annie Cresta (mother) Finnick Odair (father) (deceased),,Mockingjay,Alive,,,,,,,,Male
Barb Azure Baird,https://thehungergames.fandom.com/wiki/Barb_Azure_Baird,https://static.wikia.nocookie.net/thehungergames/images/a/a6/Barb_Azure_Hob.png/revision/latest/scale-to-width-down/268?cb=20240801213610,The Seam in District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (film),,,,,,,,,,,,,,Musician,,,,,,Barb Azure,Unnamed parents Lucy Gray Baird (cousin) Two unnamed cousins (Lucy Gray's siblings) Maude Ivory Baird † (younger cousin) Unknown relations Lenore Dove Baird † Burdock Everdeen † Katniss Everdeen Primrose Everdeen †,Black (film),,,The Ballad of Songbirds and Snakes,Honor Gillies,,,,,,Female
Barba,https://thehungergames.fandom.com/wiki/Barba,https://static.wikia.nocookie.net/thehungergames/images/5/58/Barba.png/revision/latest?cb=20260418040507,District 4,15-18,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’4” (film),,,,Brown with blonde highlights (film),,Deceased,Sunrise on the Reaping,Anastasia Detkov,,,,Dagger (book) Trident (book/film),,Female
Bascom Pie,https://thehungergames.fandom.com/wiki/Bascom_Pie,,District 12,,,,,,,,,,,,,,,,,,,,,Bootlegger,,,,,,,,,Sunrise on the Reaping,,,,,,,,,Male
Beetee Latier,https://thehungergames.fandom.com/wiki/Beetee,https://static.wikia.nocookie.net/thehungergames/images/5/51/BeeteeD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,Victors' Village in District 3 [ 1 ] District 13 [ 3 ] (briefly),14-18 ( 34th Hunger Games ) 30-34 ( 50th Hunger Games ) [ 1 ] 55-59 ( 75th Hunger Games ) [ 2 ],,,,,The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (films),,,,,,,,,,,,,,Victor (34th Hunger Games) Mentor ( 49th and 50th Hunger Games) Tribute ( 75th Hunger Games ) Soldier Inventor,,,,,,Volts [ 2 ] (by Johanna Mason and Peeta Mellark ),Unnamed wife [ 5 ] Ampert Latier † (son) [ 1 ] Unnamed younger child [ 5 ],Black (books [ 4 ] and films),,Alive,Catching Fire Mockingjay Sunrise on the Reaping,Jeffrey Wright (original trilogy) Kelvin Harrison Jr. (SOTR),,,,Wire Technology Intelligence,,Male
Beetee Latier,https://thehungergames.fandom.com/wiki/Beetee_Latier,https://static.wikia.nocookie.net/thehungergames/images/5/51/BeeteeD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,Victors' Village in District 3 [ 1 ] District 13 [ 3 ] (briefly),14-18 ( 34th Hunger Games ) 30-34 ( 50th Hunger Games ) [ 1 ] 55-59 ( 75th Hunger Games ) [ 2 ],,,,,The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (films),,,,,,,,,,,,,,Victor (34th Hunger Games) Mentor ( 49th and 50th Hunger Games) Tribute ( 75th Hunger Games ) Soldier Inventor,,,,,,Volts [ 2 ] (by Johanna Mason and Peeta Mellark ),Unnamed wife [ 5 ] Ampert Latier † (son) [ 1 ] Unnamed younger child [ 5 ],Black (books [ 4 ] and films),,Alive,Catching Fire Mockingjay Sunrise on the Reaping,Jeffrey Wright (original trilogy) Kelvin Harrison Jr. (SOTR),,,,Wire Technology Intelligence,,Male
Billy Taupe Clade,https://thehungergames.fandom.com/wiki/Billy_Taupe,https://static.wikia.nocookie.net/thehungergames/images/e/e6/Billy_Taupe.jpg/revision/latest/scale-to-width-down/268?cb=20231222172355,District 12,16-18 [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Musician,,,,,,,Unnamed parents Clerk Carmine Clade (little brother) The Covey (adoptive family),,,Deceased,The Ballad of Songbirds and Snakes,Dakota Shapiro,,,,,,Male
Binnie Chance,https://thehungergames.fandom.com/wiki/Binnie_Chance,,District 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay Chance † (brother) Woodbine Chance † Arlo Chance † (possible ancestor) [ 1 ],,Sunrise on the Reaping,Deceased,,,,,,,,Female
Bircher,https://thehungergames.fandom.com/wiki/Bircher,,District 7,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Blue (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’0” (film),,,,Strawberry-blonde (film),,Deceased,Sunrise on the Reaping,Ilja Bultmann,,,,,,Male
Blair,https://thehungergames.fandom.com/wiki/Blair,,District 12,14-16 (Book),,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,,,,,,,,Unnamed older brother [ 1 ],,,,Sunrise on the Reaping,Devon Singletary,,,,,,Male
Blight,https://thehungergames.fandom.com/wiki/Blight,https://static.wikia.nocookie.net/thehungergames/images/6/64/Blight1.jpeg/revision/latest/scale-to-width-down/267?cb=20200729212125,Victors' Village in District 7,15-18 (at victory) 34-42 ( 75th Hunger Games ),,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victor Tribute ( 75th Hunger Games ),,,,,,,,,,Deceased,Catching Fire,Bobby Jordan,,,,Axe [ 1 ],,Male
Blossom,https://thehungergames.fandom.com/wiki/Blossom,https://static.wikia.nocookie.net/thehungergames/images/1/15/BlossomSOTR.png/revision/latest?cb=20260604031755,District 11,12-18 ( 50th Hunger Games ),,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,"4'11"" (film)",,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Suryani Hardt,,,,,,Female
Bobbin,https://thehungergames.fandom.com/wiki/Bobbin,https://static.wikia.nocookie.net/thehungergames/images/9/96/Bobbin.jpg/revision/latest/scale-to-width-down/268?cb=20231129171223,District 8,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Green (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Blonde (film),,Deceased (killed by Coriolanus Snow ),The Ballad of Songbirds and Snakes,Knox Gibson,,,,Knife Machete,,Male
Boggs,https://thehungergames.fandom.com/wiki/Boggs,https://static.wikia.nocookie.net/thehungergames/images/7/77/BoggsD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,District 13,Mid-forties [ 1 ],,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Soldier Head of Security of District 13,,,,,,,,,,Deceased,Mockingjay,Mahershala Ali,,,,Gun,,Male
Bonnie,https://thehungergames.fandom.com/wiki/Bonnie,,District 8,Mid teens,,,,,,,,,,,,,,,,,,,,Student Factory worker,,,,,,,,,Mockingjay,Unknown (presumed deceased),Catching Fire,,,,,,,Female
Brandy,https://thehungergames.fandom.com/wiki/Brandy,https://static.wikia.nocookie.net/thehungergames/images/0/06/Brandy.jpg/revision/latest/scale-to-width-down/267?cb=20231122163028,District 10,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Blonde (film),,Deceased (shot by Peacekeepers ),The Ballad of Songbirds and Snakes,Luna Kuse,,,,Knife (book) Bottle (film),,Female
Bristel,https://thehungergames.fandom.com/wiki/Bristel,,District 12,,,,,,,,,,,,,,,,,,,,,Coal miner,,,,,,,,,,Unknown (presumed deceased),Catching Fire,,,,,,,Unknown
Brutus,https://thehungergames.fandom.com/wiki/Brutus,https://static.wikia.nocookie.net/thehungergames/images/f/fb/Quarter_quell_brutus.jpg/revision/latest/scale-to-width-down/267?cb=20140218190941,Victors' Village in District 2,"At least 18 (at victory) At least 40, 40-49 ( 75th Hunger Games ) [ 1 ]",,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victor (late 40s) Career Tribute ( 75th Hunger Games ) [ 1 ],,,,,,,,,Mockingjay,Deceased,Catching Fire,Bruno Gunn,,,,Spear [ 2 ],,Male
Buck,https://thehungergames.fandom.com/wiki/Buck,,District 10,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’9” (film),,,,Black (film),,Deceased,Sunrise on the Reaping,John Doeble [ 1 ],,,,,,Male
Bug,https://thehungergames.fandom.com/wiki/Bug,,District 11 (previously) District 12,,,,,,,,,,,,,,,,,,,,,Peacekeeper,,,,,,,,,,Alive,The Ballad of Songbirds and Snakes,,,,,Peacekeeper's rifle,,Male
Burdock Everdeen,https://thehungergames.fandom.com/wiki/Burdock_Everdeen,https://static.wikia.nocookie.net/thehungergames/images/a/a5/Sr.Everdeen.png/revision/latest/scale-to-width-down/268?cb=20140504225522,The Seam in District 12,14-15 ( Sunrise on the Reaping ) [ 1 ] 34-35 (at death) [ 2 ],The Hunger Games: Mockingjay - Part 1 The Hunger Games: Mockingjay - Part 2,,,,The Hunger Games (flashbacks) The Hunger Games: Sunrise on the Reaping (upcoming),Gray (books),,,,,,,,,,,,,,Coal miner [ 3 ] Hunter [ 4 ],,,,,,Burdie (by Haymitch Abernathy ) [ 5 ],Lenore Dove Baird † (distant cousin) Asterid Everdeen (wife) Katniss Everdeen (oldest daughter) Primrose Everdeen † (youngest daughter) Peeta Mellark (son-in-law) Unnamed granddaughter Unnamed grandson The Covey (implied/distant/supposed family),Black (books) Brown (film),The Hunger Games Catching Fire Mockingjay,Deceased,Sunrise on the Reaping,Phillip Troy Linger Scot Greenan (SOTR),,,,Bow and arrow,,Male
Buster,https://thehungergames.fandom.com/wiki/Buster,,District 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunrise on the Reaping,,,,,,,,,Male
Buttercup,https://thehungergames.fandom.com/wiki/Buttercup,https://static.wikia.nocookie.net/thehungergames/images/c/c6/Buttercup.png/revision/latest/scale-to-width-down/268?cb=20150104015613,The Seam (formerly) Victors' Village in District 12 District 13 (briefly),3-4 ( The Hunger Games ) 4-5 ( Catching Fire and Mockingjay ),,,,,The Hunger Games (film) The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,,,,,,,,,,,Alive,The Hunger Games Catching Fire Mockingjay,,,,,,,Male
Caesar Flickerman,https://thehungergames.fandom.com/wiki/Caesar_Flickerman,https://static.wikia.nocookie.net/thehungergames/images/8/84/CaesarCapitolCouture.jpg/revision/latest/scale-to-width-down/268?cb=20231107225949,The Capitol,Around 65 (implied) [ 1 ],,,,,The Hunger Games film The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,Master of Ceremonies,,,,,,,,Green (dyed; 50th HG) Red (dyed; 73rd HG) Blue (dyed; 74th HG) Lavender (dyed; 75th HG),,Unknown,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Stanley Tucci (original trilogy) Kieran Culkin (SOTR) Stavros Demetraki ( stage ),,,,,,Male
Camilla,https://thehungergames.fandom.com/wiki/Camilla,https://static.wikia.nocookie.net/thehungergames/images/b/bd/Camilla.jpeg/revision/latest/scale-to-width-down/268?cb=20260509191952,District 2,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’8” (film),,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Paloma Padrock,,,,Sledgehammer (film),,Female
Carat,https://thehungergames.fandom.com/wiki/Carat,https://static.wikia.nocookie.net/thehungergames/images/e/e2/Carat.png/revision/latest?cb=20260418033048,District 1,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’7 (film),,,,Black (film),,Deceased,Sunrise on the Reaping,Nikita Takasaki,,,,Bow and arrow (film),,Female
Career Tribute,https://thehungergames.fandom.com/wiki/Career_Tribute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casca Highbottom,https://thehungergames.fandom.com/wiki/Casca_Highbottom,https://static.wikia.nocookie.net/thehungergames/images/8/89/CascaHighbottom-Poster.jpeg/revision/latest/scale-to-width-down/268?cb=20230922111131,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Dean of the Academy,,,,,,,,,,Deceased (poisoned by Coriolanus Snow ),The Ballad of Songbirds and Snakes,Peter Dinklage,,,,,,Male
Cashmere,https://thehungergames.fandom.com/wiki/Cashmere,https://static.wikia.nocookie.net/thehungergames/images/9/92/Quarter_quell_cashmere.jpg/revision/latest/scale-to-width-down/267?cb=20140218190812,Victors' Village in District 1,15 ( 64th Hunger Games ) 26 ( 75th Hunger Games ) [ 1 ],,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victor (64th HG) Mentor [ 1 ] Career Tribute (75th HG) [ 2 ] Sex worker (unwillingly) [ 3 ],,,,,,,Gloss † (older brother),,,Deceased,Catching Fire,Stephanie Leigh Schlund,,,,Throwing knives,,Female
Cassia,https://thehungergames.fandom.com/wiki/Cassia,,,,,,,,,,,,,,,,,,,,,,,Camerawoman,,,,,,,,,,Unknown,Sunrise on the Reaping,,,,,,,Female
Castor,https://thehungergames.fandom.com/wiki/Castor,https://static.wikia.nocookie.net/thehungergames/images/d/d1/CastorD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042857,The Capitol District 13 (briefly),,,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Cameraman,,,,,,,Pollux (brother),,,Deceased,Mockingjay,Wes Chatham,,,,,,Male
Catching Fire,https://thehungergames.fandom.com/wiki/Catching_Fire,https://static.wikia.nocookie.net/thehungergames/images/7/76/Catching_Fire.jpg/revision/latest/scale-to-width-down/268?cb=20091007051512,,,,Tim O'Brien,Science fiction Young adult Adventure,391 [ 1 ],,,ISBN 9780439023498,Mockingjay,,,,,1-Sep-09,,The Hunger Games,Scholastic Press,United States,,Suzanne Collins,,,,,,,,,,,,,,,,,,,
Cato,https://thehungergames.fandom.com/wiki/Cato,https://static.wikia.nocookie.net/thehungergames/images/f/f5/CatoNormal.png/revision/latest/scale-to-width-down/268?cb=20140401230438,District 2,16 ( The Hunger Games: Tribute Guide ) [ 1 ] 18 (film) [ 2 ],The Hunger Games: Mockingjay - Part 2,,,,The Hunger Games,Blue (film),,,,,,,,,,,,,,Career Tribute,,,,"6'2"" [ 2 ]",,,,Dark ( The Hunger Games: Illustrated Edition ) Blond (film),Catching Fire Mockingjay,Deceased (mauled by mutts /mercy kill by Katniss Everdeen ),The Hunger Games,Alexander Ludwig (film) Felipe Pacheco ( stage ),,,,Spear (novel) Sword (novel and film) Bar mace (film) Machete (film) Serrated sword (film),,Male
Cayson McCoy,https://thehungergames.fandom.com/wiki/Cayson_McCoy,,The Seam in District 12,At least 19,,,,,,,,,,,,,,,,,,,,Coal miner,,,,,,,Mr. McCoy Mrs. McCoy Ima McCoy (sister) Louella McCoy † (younger sister) 4 Unnamed siblings,,,Alive,Sunrise on the Reaping,,,,,,,Male
Cecelia,https://thehungergames.fandom.com/wiki/Cecelia,https://static.wikia.nocookie.net/thehungergames/images/7/74/Cecelia.jpeg/revision/latest/scale-to-width-down/268?cb=20190805090619,Victors' Village in District 8,15-18 (at victory) About 30 [ 1 ],,,,,The Hunger Games: Catching Fire,Blue (film),,,,,,,,,,,,,,Victor Tribute ( 75th Hunger Games ) [ 1 ],,,,,,,3 unnamed children,Brown (film),,Deceased,Catching Fire,Elena Sánchez,,,,,,Female
Chaff,https://thehungergames.fandom.com/wiki/Chaff,https://static.wikia.nocookie.net/thehungergames/images/2/23/Chaff_chariot.jpeg/revision/latest/scale-to-width-down/268?cb=20200821105412,Victor's Village in District 11,15-18 ( 45th Hunger Games ) [ 1 ] 45-48 ( 75th Hunger Games ),,,,,Catching Fire,,,,,,,,,,,,,,,Victor ( 45th Hunger Games ) [ 1 ] Tribute ( 75th Hunger Games ) [ 2 ],,,,,,,,,Mockingjay,Deceased,Catching Fire,E. Roger Mitchell,,,,Spear (training) [ 3 ],,Male
Chicory,https://thehungergames.fandom.com/wiki/Chicory,https://static.wikia.nocookie.net/thehungergames/images/4/4d/Chicory.png/revision/latest?cb=20260604032747,District 11,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,"5'7"" (film)",,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Berline Augustin,,,,,,Female
Cinna,https://thehungergames.fandom.com/wiki/Cinna,https://static.wikia.nocookie.net/thehungergames/images/5/5a/CinnaCapitolCouture.jpg/revision/latest/scale-to-width-down/268?cb=20231107225645,The Capitol,,Mockingjay - Part 1 Mockingjay - Part 2,,,,The Hunger Games (film) The Hunger Games: Catching Fire,Green with golden flecks [ 1 ] (books) Brown (films),,,,,,,,,,,,,,Stylist Rebel,,,,,,,,Brown [ 1 ] (books) Black (films),Mockingjay,Deceased,The Hunger Games Catching Fire,Lenny Kravitz,,,,,,Male
Circ,https://thehungergames.fandom.com/wiki/Circ,https://static.wikia.nocookie.net/thehungergames/images/a/a5/Circ_%28TBOSAS%29.jpg/revision/latest?cb=20250427053938,District 3,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Black (film),,Deceased,The Ballad of Songbirds and Snakes,Felix Audu,,,,Sword (film),,Male
Citadel,https://thehungergames.fandom.com/wiki/Citadel,https://static.wikia.nocookie.net/thehungergames/images/6/60/Citadel_lab.png/revision/latest/scale-to-width-down/267?cb=20230703173852,,,,,,,,,,,,Muttations Avoxes Gamemakers Peacekeepers,,,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,,,,,The Capitol,,,,
