Name,URL,Image_URL,Indirect:,Episode count:,Born:,Last appears,Cellmate(s):,Eye color,Sex,Original Identity,Occupation,Death reason:,Shows,Cellmate(s),First appears:,Prison,Age,Sex:,First Appearance,Alias(es):,Family,Cause of death,Season(s):,Portrayed by,Affiliations,Last Appearance,Last appears:,Species:,Kills:,First appears,Death,Sentence,Status,Affiliations:,Prison:,Actor,Created by:,Portrayed by:,Status:,Hair color,Other names,Crime(s),Died:
Bank Manager,https://prisonbreak.fandom.com/wiki/Bank_Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barman,https://prisonbreak.fandom.com/wiki/Barman,https://static.wikia.nocookie.net/prisonbreak/images/3/3a/Normal_407-724.jpg/revision/latest/scale-to-width-down/268?cb=20100408184239,,,,Five the Hard Way,,,,,,,,,,,,,,,,,,Hector Atreyu Ruiz,,,,,,Five the Hard Way,,,Alive,,,,,,,,,,
Barnwell,https://prisonbreak.fandom.com/wiki/Barnwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,https://prisonbreak.fandom.com/wiki/Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,https://prisonbreak.fandom.com/wiki/Bates,https://static.wikia.nocookie.net/prisonbreak/images/4/4b/143839421.jpg/revision/latest/scale-to-width-down/268?cb=20101028102716,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,Unknown voice actor (Spanish),,,,,,Prison Break - The Conspiracy (Game),,,Alive,,,,,,,,,,
Battaglia,https://prisonbreak.fandom.com/wiki/Battaglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becky Gerber,https://prisonbreak.fandom.com/wiki/Becky_Gerber,https://static.wikia.nocookie.net/prisonbreak/images/6/6b/Becky.JPG/revision/latest/scale-to-width-down/268?cb=20070923144112,,,,1x22,,,,,,,,,,,,,,,,,,Jennifer Joan Taylor,,,,,,1x4,,,Alive,,,,,,,,,,
Becky Gerber (Pobeg),https://prisonbreak.fandom.com/wiki/Becky_Gerber_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becky Gerber (The Conspiracy),https://prisonbreak.fandom.com/wiki/Becky_Gerber_(The_Conspiracy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beethoven,https://prisonbreak.fandom.com/wiki/Beethoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,https://prisonbreak.fandom.com/wiki/Ben,https://static.wikia.nocookie.net/prisonbreak/images/f/fa/Ben.JPG/revision/latest/scale-to-width-down/268?cb=20070924144030,,,,1x5,,,,,,,,,,,,,,,,,,Alan Wilder,,,,,,1x1,,,Alive,,,,,,,,,,
Benjamin Forsik,https://prisonbreak.fandom.com/wiki/Benjamin_Forsik,https://static.wikia.nocookie.net/prisonbreak/images/9/94/162.jpg/revision/latest/scale-to-width-down/268?cb=20110309054458,,1,,,,,,,,,,,Cute Poison,,,Male,,,,,1,,,,Cute Poison,,,,,,,,,,,John Judd,Alive,,,,
Benjamin Miles Franklin,https://prisonbreak.fandom.com/wiki/Benjamin_Miles_Franklin,https://static.wikia.nocookie.net/prisonbreak/images/c/cb/C-noteseason2.jpg/revision/latest/scale-to-width-down/268?cb=20110711133125,,,,5x8,,,,,,,,,,Fox River,,,,,,,,Rockmond Dunbar Tobias Kluckert [ 1 ] (Deutsch),,,,,,Pilot,,8 Years,"Alive, freed",,,,,,,,,"Possession of Stolen Goods, Escape from a Federal Incarceration Facility",
Benjamin Miles Franklin (Pobeg),https://prisonbreak.fandom.com/wiki/Benjamin_Miles_Franklin_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Miles Franklin (The Conspiracy),https://prisonbreak.fandom.com/wiki/Benjamin_Miles_Franklin_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/2/22/Benjamin_Miles_Franklin.png/revision/latest/scale-to-width-down/267?cb=20100527143945,,,,,,,,,,,,,,Fox River,,,,,,,,Rockmond Dunbar (English) Unknown voice actor (Deutch),,,,,,,,8 years,Alive,,,,,,,,,Possession of Stolen Goods Escaping prison,
Benjamin O'Toole,https://prisonbreak.fandom.com/wiki/Benjamin_O%27Toole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Money Sonny,https://prisonbreak.fandom.com/wiki/Big_Money_Sonny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy,https://prisonbreak.fandom.com/wiki/Billy,https://static.wikia.nocookie.net/prisonbreak/images/d/d5/Male.jpg/revision/latest?cb=20100501194117,,,,None (mentioned in 2x6 ),,,,,,,,,,,,,,,,,,,,,,,,None (mentioned in 2x6 ),,,Unknown,,,,,,,,,,
Black Hitman,https://prisonbreak.fandom.com/wiki/Black_Hitman,https://static.wikia.nocookie.net/prisonbreak/images/a/a0/Prison-break-the-conspiracy-xbox-360-045.jpg/revision/latest/scale-to-width-down/268?cb=20100517202527,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,,,,,,,Prison Break - The Conspiracy (Game),,,Alive,,,,,,,,,,
Blake,https://prisonbreak.fandom.com/wiki/Blake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blonde,https://prisonbreak.fandom.com/wiki/Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Hawaii,https://prisonbreak.fandom.com/wiki/Blue_Hawaii,,,2,,,,,,,,,,,Phaecia (episode),,,Male,,,,,5,,,,Behind The Eyes (episode),,,,,,,,,,,Duncan Ollerenshaw,Alive,,,,
Blue Philips,https://prisonbreak.fandom.com/wiki/Blue_Philips,https://static.wikia.nocookie.net/prisonbreak/images/f/f9/3439.jpg/revision/latest/scale-to-width-down/268?cb=20100421172243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,,,,,,,
Bo,https://prisonbreak.fandom.com/wiki/Bo,https://static.wikia.nocookie.net/prisonbreak/images/6/6f/Bo.jpg/revision/latest/scale-to-width-down/268?cb=20100330195237,,,,Brother's Keeper,,,,,,,,,,,,,,,,,,Jason Wells,,,,,,Cell Test,,,Alive,,,,,,,,,,
Bo Cowler,https://prisonbreak.fandom.com/wiki/Bo_Cowler,https://static.wikia.nocookie.net/prisonbreak/images/f/f0/Cowler1-1.jpg/revision/latest/scale-to-width-down/268?cb=20110715162942,1,2,,,,,,,,,,,The Old Ball and Chain,,,Female,,,,,The Final Break,,,,Free,,,,,,,,,,,Aisha Winds,Alive,,,,
Bob Dixon,https://prisonbreak.fandom.com/wiki/Bob_Dixon,https://static.wikia.nocookie.net/prisonbreak/images/1/1e/BobDixon.jpg/revision/latest/scale-to-width-down/267?cb=20120319171246,,1,,,,,,,,,,,Double Down,,,Male,,,,,2,,,,Double Down,,,,,,,,,,,Dominic Keating,Alive,,,,
Bob Hudson,https://prisonbreak.fandom.com/wiki/Bob_Hudson,https://static.wikia.nocookie.net/prisonbreak/images/a/a2/Pb_hudson.jpg/revision/latest?cb=20070302192845,11,2,29 may 1976,,,,,,,Stabbed by Theodore Bagwell,,,"Riots, Drills and the Devil, Part 1",,,Male,,,,,"1 , 2",,,,Fin Del Camino,,,,,,,,,,Nick Santora,Michael Cudlitz,Deceased,,,,"2005 , Illinois , Alabama , Fox River"
Bob Hudson's daughter,https://prisonbreak.fandom.com/wiki/Bob_Hudson%27s_daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Hudson (Pobeg),https://prisonbreak.fandom.com/wiki/Bob_Hudson_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Hudson (The Conspiracy),https://prisonbreak.fandom.com/wiki/Bob_Hudson_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/d/d5/Male.jpg/revision/latest?cb=20100501194117,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,,,,,,,Prison Break - The Conspiracy (Game),,,Unknown,,,,,,,,,,
Bobbo,https://prisonbreak.fandom.com/wiki/Bobbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Bellick,https://prisonbreak.fandom.com/wiki/Brad_Bellick,https://static.wikia.nocookie.net/prisonbreak/images/c/c4/B_20279.jpg/revision/latest/scale-to-width-down/268?cb=20120411210858,Unknown,63,1965,,,Brown,,,,Drowned,,,Pilot,,,Male,,,,,"1 , 2 , 3 , 4",,,,Greatness Achieved Death The Legend Corpse,,3,,,,,Henry Pope Michael,Fox River Unnamed Prison Sona,,Paul Scheuring,Wade Williams Jan Spitzer [ 1 ] (Deutch),Deceased,,,,2005
Brad Bellick (The Conspiracy),https://prisonbreak.fandom.com/wiki/Brad_Bellick_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/7/74/Brad_Bellick.png/revision/latest/scale-to-width-down/268?cb=20100527144130,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,Wade Williams (English) Unknown voice actor (Deutch) Unknown voice actor (Spanish),,,,,,Prison Break - The Conspiracy (Game),,,Alive,,,,,,,,,,
Brian Anderson,https://prisonbreak.fandom.com/wiki/Brian_Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Finklestein,https://prisonbreak.fandom.com/wiki/Brian_Finklestein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Bennett,https://prisonbreak.fandom.com/wiki/Bruce_Bennett,https://static.wikia.nocookie.net/prisonbreak/images/d/db/Bruce_Bennett.png/revision/latest/scale-to-width-down/268?cb=20110713211705,,,,4x3,,,,,,,,,,,60’s,,,,,Shot in the back of the head by Wyatt Mathewson,,Wilbur Fitzgerald,,,,,,2x5,2005,,Deceased,,,,,,,Gray,,,
Bryant C. Bishop,https://prisonbreak.fandom.com/wiki/Bryant_C._Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock,https://prisonbreak.fandom.com/wiki/Bullock,https://static.wikia.nocookie.net/prisonbreak/images/3/34/114-015.jpg/revision/latest/scale-to-width-down/268?cb=20100427144136,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Rat,,,Alive,,,,,,,,,,
C-Note's contact,https://prisonbreak.fandom.com/wiki/C-Note%27s_contact,https://static.wikia.nocookie.net/prisonbreak/images/d/d5/Male.jpg/revision/latest?cb=20100501194117,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,Fox River,,,,,,,,,,,,,,Prison Break - The Conspiracy (Game),,(Unknown),Deceased,,,,,,,,,(Crimes in prison; unknown),
Cab Driver,https://prisonbreak.fandom.com/wiki/Cab_Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabe Green,https://prisonbreak.fandom.com/wiki/Cabe_Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callahan,https://prisonbreak.fandom.com/wiki/Callahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ballester,https://prisonbreak.fandom.com/wiki/Calvin_Ballester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Mahone,https://prisonbreak.fandom.com/wiki/Cameron_Mahone,https://static.wikia.nocookie.net/prisonbreak/images/b/b7/Normal_404-547.jpg/revision/latest/scale-to-width-down/268?cb=20100408181805,,2,2000,,,,,,,Shot by Wyatt Mathewson,,,Bad Blood,,,Male,,,,,"2 , 3 , 4",,,,Scylla,,,,,,,,,,,,Deceased,,,,2005
Candace Plum,https://prisonbreak.fandom.com/wiki/Candace_Plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos,https://prisonbreak.fandom.com/wiki/Carlos,https://static.wikia.nocookie.net/prisonbreak/images/3/39/Prson_brk_1.jpg/revision/latest/scale-to-width-down/268?cb=20110204014010,,,,Prison Break - The Classified FBI Files,,,,,,,,,,,,,,,,,,Luis Olmeda [ 2 ],,,,,,Disconnect,,,Alive,,,,,,,,Coyote's cousin [ 1 ],Working for Pedro Ramos with illegal events,
Carlos Vazquez,https://prisonbreak.fandom.com/wiki/Carlos_Vazquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Zepeda,https://prisonbreak.fandom.com/wiki/Carlos_Zepeda,https://static.wikia.nocookie.net/prisonbreak/images/8/84/Odd_Man_Out_7.PNG/revision/latest/scale-to-width-down/268?cb=20110523215020,1,1,Unknown,,,,,,,,,,There are Rules,,,Male,,,,,1,,,,There are Rules,,,,,,,,,,Nick Santora,,Alive,,,,
Carole Mullen,https://prisonbreak.fandom.com/wiki/Carole_Mullen,,,,,,,,Female,,,,,,,,,,,,,,,Lili Taylor,,,,,,,,,Alive,,,,,,,,,,
Caroline Reynolds,https://prisonbreak.fandom.com/wiki/Caroline_Reynolds,https://static.wikia.nocookie.net/prisonbreak/images/9/9a/Caroline.jpg/revision/latest/scale-to-width-down/268?cb=20110715162842,,,,2x19,,,female,,Former President and Vice President of the United States of America,,,,,Unknown,,,,,Brother - Terrence Steadman,,,Patricia Wettig,,,,,,1x2,,Unknown,Unknown,,,,,,,,The Bitch (By Michael and Lincoln),Terrorism,
Caroline Reynolds' granddaughter,https://prisonbreak.fandom.com/wiki/Caroline_Reynolds%27_granddaughter,,,,,Allen,,,,,,,,,,,,,,,"Caroline Reynolds (Grandmother), Brother",,,Ashley Boetcher,,,,,,Allen,,,Alive,,,,,,,,,,
Caroline Reynolds's grandson,https://prisonbreak.fandom.com/wiki/Caroline_Reynolds%27s_grandson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Reynolds (Pobeg),https://prisonbreak.fandom.com/wiki/Caroline_Reynolds_(Pobeg),https://static.wikia.nocookie.net/prisonbreak/images/c/ce/CarolineReynolds.jpg/revision/latest/scale-to-width-down/268?cb=20111026093642,,,,,,,,,,,,,,,,Female,,,,,"1 , 2",,,,,,1,,,,,,,,,,Alive,,,,
Scott Carruth,https://prisonbreak.fandom.com/wiki/Carruth,https://static.wikia.nocookie.net/prisonbreak/images/5/53/19.JPG/revision/latest/scale-to-width-down/268?cb=20100418172801,,2,,,,,,,,Shot by Alexander Mahone,,,Going Under,,,Male,,Lawrence Wilcott,,,4,,,,The Sunshine State,,,,,,,,,,,Titus Welliver,Deceased,,,,2005
Cassidy Collins,https://prisonbreak.fandom.com/wiki/Cassidy_Collins,,,,,,,,Female,,Corrections officer,,,,,,,,,,,,,Emily Browning,,,,,,,,,Alive,,,,,,,,,,
Chaco,https://prisonbreak.fandom.com/wiki/Chaco,https://static.wikia.nocookie.net/prisonbreak/images/4/40/Vlcsnap-12356523.jpg/revision/latest/scale-to-width-down/268?cb=20110113170053,,,,Sona,,,,,,,,,,,,,,,,,,,,,,,,Sona,,,Alive,,,,,,,,,,
Chapel Priest,https://prisonbreak.fandom.com/wiki/Chapel_Priest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
