index,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
36,Andrik,Greyjoy,,,,19.0,1,1,0,0,0,1,0
37,Anguy,None,,,,30.0,1,0,1,0,1,0,0
38,Antario Jast,Lannister,,,,32.0,1,1,0,1,0,0,0
39,Anvil Ryn,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
40,Anya Waynwood,Arryn,,,,38.0,0,1,1,0,0,1,0
41,Archibald Yronwood,Martell,,,,6.0,1,1,0,0,0,0,1
42,Ardrian Celtigar,Baratheon,,,,10.0,1,1,0,1,1,0,0
43,Areo Hotah,House Martell,,,,2.0,1,0,0,0,0,1,1
44,Arianne Martell,House Martell,,,,2.0,0,1,0,0,0,1,1
45,Arneld,Lannister,,,,59.0,1,0,0,1,0,0,0
46,Arnolf Karstark,Stark,,,,3.0,1,1,0,0,0,0,1
47,Aron Santagar,Lannister,299.0,2.0,41.0,18.0,1,1,1,1,0,0,0
48,Arron,Night's Watch,,,,75.0,1,0,0,0,1,0,1
49,Arron Qorgyle,Martell,,,,38.0,1,1,0,0,1,0,0
50,Arryk (Guard),House Tyrell,,,,6.0,1,0,0,0,1,1,0
51,Arson,Wildling,,,,26.0,1,0,0,0,1,0,0
52,Arthor Karstark,Stark,,,,62.0,1,1,0,0,0,0,1
53,Arwyn Frey,None,,,,49.0,0,1,0,0,1,0,0
54,Arwyn Oakheart,Tyrell,,,,22.0,0,1,0,1,0,0,0
55,Arya Stark,Stark,,,,2.0,0,1,1,1,1,1,1
56,Arys Oakheart,Lannister,300.0,4.0,21.0,57.0,1,1,1,1,0,1,0
57,Asha Greyjoy,House Greyjoy,,,,11.0,0,1,0,1,0,1,1
58,Aurane Waters,Lannister,,,,65.0,1,0,0,1,0,1,0
59,Axell Florent,Baratheon,,,,0.0,1,1,0,1,1,0,1
60,Azzak,None,,,,2.0,1,1,0,0,0,0,1
61,Ballabar,Lannister,,,,4.0,1,0,0,1,0,0,0
62,Balon Swann,Lannister,,,,29.0,1,1,1,1,1,1,1
63,Bannen,Night's Watch,299.0,3.0,33.0,0.0,1,0,0,0,1,0,0
64,Barbrey Dustin,Stark,,,,26.0,0,1,0,0,0,0,1
65,Barra,None,299.0,2.0,39.0,35.0,0,0,1,0,0,0,0
66,Barristan Selmy,Targaryen,,,,15.0,1,1,1,1,1,0,1
67,Barsena,None,300.0,5.0,52.0,11.0,0,0,0,0,0,0,1
68,Barth (brewer),House Stark,,,,50.0,1,0,0,1,0,0,0
69,Bass,Night's Watch,,,,52.0,1,0,1,0,0,0,0
70,Bayard Norcross,Tyrell,,,,28.0,1,1,0,0,0,1,0
71,Bearded Ben,Night's Watch,,,,,1,0,0,0,0,1,0
72,Becca,House Arryn,,,,12.0,0,0,1,0,0,0,0
73,Becca the Baker,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
74,Bedwyck,Night's Watch,,,,13.0,1,0,0,1,1,0,1
75,Belaquo,None,,,,52.0,1,0,0,0,0,0,1
76,Bella,None,,,,29.0,0,0,0,0,1,0,0
77,Bellegere Otherys (courtesan),None,,,,34.0,0,1,0,0,0,1,0
78,Bellonara Otherys,None,,,,34.0,0,1,0,0,0,1,0
79,Belwas,House Targaryen,,,,63.0,1,0,0,1,1,0,1
80,Ben,None,,,,37.0,1,0,0,0,0,1,0
81,Ben Bones,None,,,,12.0,1,0,0,0,0,0,1
82,Ben Plumm,None,,,,57.0,1,0,0,0,1,0,1
83,Benedar Belmore,Arryn,,,,23.0,1,1,0,0,0,1,0
84,Benfred Tallhart,Stark,299.0,2.0,37.0,16.0,1,1,0,1,0,0,0
85,Benfrey Frey,None,299.0,5.0,51.0,51.0,1,1,0,0,1,0,0
86,Benjen Stark,Night's Watch,298.0,1.0,24.0,5.0,1,1,1,0,0,0,0
87,Bennet,None,300.0,4.0,31.0,31.0,1,0,0,0,0,1,0
88,Beric Dondarrion,None,300.0,4.0,27.0,42.0,1,1,1,0,1,0,0
89,Bessa (Winterfell),Stark,,,,37.0,0,0,1,0,0,0,0
90,Beth Cassel,Stark,,,,7.0,0,1,1,1,0,0,0
91,Bhakaz zo Loraq,None,,,,2.0,1,1,0,0,0,0,1
92,Big Boil,Wildling,,,,41.0,1,0,0,0,1,0,0
93,Big Walder Frey,None,,,,,1,1,1,1,0,0,1
94,Biter,None,300.0,4.0,37.0,1.0,1,0,0,1,0,1,0
95,Black Bernarr,Night's Watch,,,,18.0,1,0,0,0,1,0,1
96,Black Walder Frey,None,,,,35.0,1,1,0,0,1,0,0
97,Blane,Night's Watch,,,,23.0,1,0,0,1,0,0,0
98,Bloodbeard,None,,,,25.0,1,0,0,0,0,0,1
99,Blue Bard,House Tyrell,,,,12.0,1,0,0,0,0,1,0
100,Bonifer Hasty,Lannister,,,,65.0,1,1,0,1,0,1,0
101,Borcas,Night's Watch,,,,48.0,1,0,1,0,0,0,0
102,Boremund Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
103,Boros Blount,Baratheon,,,,8.0,1,1,1,1,1,1,1
104,Borroq,Wildling,,,,0.0,1,0,0,0,0,0,1
105,Bowen Marsh,Night's Watch,,,,21.0,1,0,1,0,1,0,1
106,Bran Stark,House Stark,,,,1.0,1,1,1,1,1,0,1
107,Brandon Norrey,Stark,,,,49.0,1,1,0,0,0,0,1
108,Brenett,None,,,,49.0,1,0,0,0,1,0,0
109,Brienne of Tarth,Stark,,,,22.0,0,1,0,1,1,1,1
110,Bronn,Lannister,,,,28.0,1,1,1,1,1,0,0
111,Brown Bernarr,Night's Watch,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0
112,Brusco,None,,,,22.0,1,0,0,0,0,1,1
113,Bryan Fossoway,Baratheon,299.0,2.0,62.0,42.0,1,1,1,1,0,0,0
114,Bryce Caron,Baratheon,299.0,2.0,65.0,29.0,1,1,1,1,0,0,0
115,Bryen,None,,,,68.0,1,0,0,0,1,0,0
116,Bryen Farring,Baratheon,300.0,5.0,62.0,10.0,1,1,0,1,0,0,1
117,Brynden Rivers,House Targaryen,,,,34.0,1,1,0,0,0,0,1
118,Brynden Tully,House Tully,,,,2.0,1,1,1,1,1,1,0
119,Burton Crakehall,Lannister,299.0,2.0,7.0,55.0,1,1,1,1,0,0,0
120,Butterbumps,House Tyrell,,,,6.0,1,0,0,0,1,0,0
121,Byam Flint,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
122,Byan Votyris,None,,,,54.0,1,0,1,0,0,0,0
123,Byron,Arryn,,,,41.0,1,0,0,0,0,1,0
124,Cadwyn,House Lannister,,,,47.0,1,0,0,1,0,0,0
125,Caleotte,House Martell,,,,2.0,1,0,0,0,0,1,1
126,Catelyn Tully,House Stark,299.0,3.0,51.0,2.0,0,1,1,1,1,0,0
127,Cayn,House Stark,298.0,1.0,49.0,4.0,1,0,1,0,0,0,0
128,Cellador,Night's Watch,,,,48.0,1,0,1,0,1,0,1
129,Cersei Frey,None,,,,49.0,0,1,0,0,1,0,0
130,Cersei Lannister,House Lannister,,,,4.0,0,1,1,1,1,1,1
131,Chataya,None,,,,15.0,0,0,0,1,0,0,0
132,Chayle,Stark,299.0,2.0,50.0,9.0,1,0,1,1,0,0,0
133,Chella,Lannister,,,,56.0,0,0,1,1,1,0,0
134,Chett,Night's Watch,299.0,3.0,46.0,41.0,1,0,1,1,1,0,0
135,Chiggen,Lannister,298.0,1.0,42.0,31.0,1,0,1,0,0,0,0
136,Chiswyck,None,299.0,2.0,30.0,26.0,1,0,0,1,0,0,0
137,Clayton Suggs,Baratheon,,,,17.0,1,0,0,0,0,0,1
138,Clement Piper,Tully,,,,38.0,1,1,0,0,0,1,0
139,Cleos Frey,None,299.0,3.0,21.0,7.0,1,1,0,1,1,0,0
140,Cley Cerwyn,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
141,Clubfoot Karl,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
142,Clydas,Night's Watch,,,,41.0,1,0,1,0,1,1,1
143,Cohollo,None,298.0,1.0,64.0,11.0,1,0,1,0,0,0,0
144,Coldhands,None,,,,46.0,1,0,0,0,1,0,1
145,Colemon,House Arryn,,,,34.0,1,0,1,0,1,1,0
146,Colen of Greenpools,House Baratheon,,,,22.0,1,1,0,1,0,0,0
147,Conn,Lannister,298.0,1.0,62.0,42.0,1,0,1,0,0,0,0
148,Conwy,Night's Watch,,,,6.0,1,0,0,1,0,0,0
149,Corliss Penny,Baratheon,,,,26.0,1,0,0,0,0,0,1
150,Cortnay Penrose,Baratheon,299.0,2.0,42.0,31.0,1,1,0,1,0,0,0
151,Cotter Pyke,Night's Watch,,,,48.0,1,0,0,0,1,0,0
152,Cragorn,House Greyjoy,300.0,4.0,29.0,19.0,1,0,0,0,0,1,0
153,Craster,None,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0
154,Cregan Karstark,Stark,,,,44.0,1,1,0,0,0,0,1
155,Creighton Longbough,None,,,,4.0,1,0,0,0,0,1,0
156,Cressen,Baratheon,299.0,1.0,0.0,0.0,1,0,0,1,0,0,0
157,Cuger,Night's Watch,,,,,1,0,1,0,0,0,0
158,Cutjack,None,,,,5.0,1,0,0,1,0,0,0
159,Daario Naharis,Targaryen,,,,42.0,1,0,0,0,1,0,1
160,Dacey Mormont,Stark,299.0,3.0,51.0,63.0,0,1,1,0,1,0,0
161,Daemon Sand,Martell,,,,38.0,1,0,0,0,1,0,1
162,Daenerys Targaryen,House Targaryen,,,,3.0,0,1,1,1,1,0,1
163,Dagon Codd,Greyjoy,300.0,5.0,20.0,20.0,1,1,0,0,0,0,1
164,Dagmer,House Greyjoy,,,,11.0,1,0,0,1,0,0,0
165,Dalbridge,Night's Watch,299.0,2.0,53.0,43.0,1,0,0,1,0,0,0
166,Dale Seaworth,Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
167,Dalla,Wildling,300.0,3.0,76.0,73.0,0,1,0,0,1,0,0
168,Dalla (Dragonstone),Baratheon,,,,0.0,0,0,0,1,0,0,0
169,Damon Dance-for-Me,None,,,,12.0,1,0,0,0,0,0,1
170,Damon Vypren,None,,,,49.0,1,1,0,0,1,0,0
171,Dancy,None,,,,29.0,0,0,0,1,0,0,0
172,Danwell Frey,None,,,,59.0,1,1,1,1,1,1,0
173,Dareon,Night's Watch,300.0,4.0,34.0,19.0,1,0,1,0,0,1,0
174,Daryn Hornwood,Stark,298.0,1.0,63.0,63.0,1,1,1,0,0,0,0
175,Daven Lannister,House Lannister,,,,12.0,1,1,0,0,0,1,0
176,Davos Seaworth,Baratheon,,,,0.0,1,1,0,1,1,0,1
177,Del,Wildling,299.0,3.0,41.0,41.0,1,0,0,0,1,0,0
178,Delp,House Tully,299.0,3.0,20.0,39.0,1,0,0,1,1,0,0
179,Denys Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0
180,Denys Mallister,Night's Watch,,,,48.0,1,1,0,0,1,0,0
181,Dermot,Baratheon,,,,65.0,1,0,0,1,0,1,0
182,Desmond,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0
183,Desmond Grell,Tully,,,,7.0,1,1,0,1,1,1,0
184,Devan Seaworth,Baratheon,,,,10.0,1,1,0,1,1,0,1
185,Deziel Dalt,Martell,,,,38.0,1,1,0,0,1,0,1
186,Dhazzar,None,,,,2.0,1,1,0,0,0,0,1
187,Dick Crabb,None,300.0,4.0,20.0,9.0,1,0,0,0,0,1,0
188,Dick Follard,Night's Watch,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
189,Dickon Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0
190,Dirk,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
191,Dobber,None,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
192,Donal Noye,Night's Watch,300.0,3.0,64.0,19.0,1,0,1,1,1,0,0
193,Donella Hornwood,Stark,299.0,2.0,35.0,16.0,0,1,0,1,0,0,0
194,Donnel Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0
195,Donnel Haigh,None,,,,49.0,1,1,0,0,1,0,0
196,Donnel Hill,Night's Watch,,,,0.0,1,0,0,0,1,0,1
197,Donnel Locke,Stark,299.0,3.0,51.0,25.0,1,1,0,1,1,0,0
198,Donnel Waynwood,Tully,,,,34.0,1,1,1,0,0,0,0
199,Donnis,House Stark,,,,7.0,1,0,1,0,0,0,0
200,Dontos Hollard,None,300.0,3.0,61.0,57.0,1,1,1,1,1,0,0
201,Donyse,None,,,,72.0,0,0,0,0,1,0,0
202,Doran Martell,Martell,,,,2.0,1,1,0,0,0,1,1
203,Doreah,House Targaryen,299.0,2.0,12.0,11.0,0,0,1,1,0,0,0
204,Dornish Dilly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
205,Draqaz,None,,,,2.0,1,1,0,0,0,0,1
206,Drennan,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
207,Drogo,Targaryen,298.0,1.0,64.0,3.0,1,1,1,0,0,0,0
208,Dudley,Stark,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
209,Dunsen,None,,,,26.0,1,0,0,1,0,0,0
210,Dunstan Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0
211,Duram Bar Emmon,Baratheon,,,,0.0,1,1,0,1,0,0,0
212,Dykk Harlaw,Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
213,Dywen,Night's Watch,,,,48.0,1,0,1,1,1,0,1
214,Easy,Night's Watch,300.0,3.0,55.0,55.0,1,0,0,0,1,0,0
215,Ebben,Night's Watch,299.0,2.0,68.0,43.0,1,0,0,1,0,0,0
216,Eddard Karstark,Stark,298.0,1.0,63.0,53.0,1,1,1,0,0,0,0
217,Eddard Stark,House Stark,299.0,1.0,65.0,1.0,1,1,1,0,0,0,0
218,Eddison Tollett,Night's Watch,,,,13.0,1,0,0,1,1,1,1
219,Edmure Tully,House Tully,,,,28.0,1,1,1,1,1,1,0
220,Edric Dayne,None,,,,34.0,1,1,0,0,1,0,0
221,Edric Storm,House Baratheon,,,,10.0,1,0,0,0,1,0,0
222,Edwyn Frey,None,,,,38.0,1,1,0,0,1,1,0
223,Eggon,None,,,,30.0,1,0,0,1,0,0,0
224,Elder Brother,None,,,,31.0,1,0,0,0,0,1,0
225,Eldred Codd,Greyjoy,,,,18.0,1,1,0,0,0,1,0
226,Eleyna Westerling,Stark,,,,45.0,0,1,0,0,1,1,0
227,Elinor Tyrell,Tyrell,,,,6.0,0,1,0,0,1,1,0
228,Ellaria Sand,Martell,,,,38.0,0,1,0,0,1,0,1
229,Elmar Frey,None,,,,59.0,1,1,1,1,1,0,0
230,Elyas Willum,Baratheon,,,,22.0,1,1,0,1,0,0,0
231,Emmon Cuy,Baratheon,299.0,2.0,42.0,33.0,1,1,0,1,0,0,0
232,Emmon Frey,Lannister,,,,29.0,1,1,1,0,0,1,0
233,Emmond,Greyjoy,,,,1.0,1,0,0,0,0,1,0
234,Emrick,Night's Watch,,,,75.0,1,0,0,0,1,0,1
235,Endehar,Greyjoy,,,,56.0,1,0,0,1,0,0,0
236,Elwood,House Tully,299.0,3.0,20.0,20.0,1,0,0,0,1,0,0
237,Endrew Tarth,Night's Watch,299.0,3.0,69.0,60.0,1,0,1,0,1,0,0
238,Enger,House Tully,,,,39.0,1,0,0,1,0,0,0
239,Eon Hunter,Arryn,300.0,3.0,80.0,38.0,1,1,1,0,1,0,0
240,Erik Ironmaker,Greyjoy,,,,19.0,1,1,0,0,0,1,0
241,Ermesande Hayford,None,,,,2.0,0,1,0,1,1,1,0
242,Eroeh,Targaryen,298.0,1.0,68.0,61.0,1,0,1,0,0,0,0
243,Erreck,None,,,,12.0,1,0,0,0,1,0,0
244,Erryk (Guard),House Tyrell,,,,6.0,1,0,0,0,1,1,0
245,Esgred,Greyjoy,,,,24.0,1,0,0,1,0,0,0
246,Ezzara,Targaryen,,,,30.0,0,0,0,0,0,0,1
247,Falia Flowers,Greyjoy,,,,29.0,0,0,0,0,0,1,0
248,Falyse Stokeworth,Lannister,300.0,5.0,36.0,2.0,0,1,0,1,0,1,0
249,Farlen,House Stark,299.0,2.0,56.0,46.0,1,0,0,1,0,0,0
250,Fat Walda Frey,None,,,,37.0,0,1,0,0,1,0,1
251,Flement Brax,Lannister,,,,56.0,1,1,1,0,1,1,0
252,Fletcher Will,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
253,Fogo,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
254,Forley Prester,Lannister,,,,33.0,1,1,0,0,0,1,0
255,Fornio,Night's Watch,,,,33.0,1,0,0,0,1,0,0
256,Frenken,Lannister,,,,15.0,1,0,0,1,1,0,0
257,Frenya,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
258,Frynne,Martell,,,,40.0,0,0,0,0,0,1,0
259,Gage,House Stark,,,,4.0,1,1,0,1,0,0,0
260,Galazza Galare,None,,,,23.0,0,1,0,0,0,0,1
261,Galbart Glover,Stark,,,,55.0,1,1,1,0,1,0,0
262,Gared,Night's Watch,297.0,1.0,1.0,0.0,1,0,1,0,0,0,0
263,Garin (Orphan),Martell,,,,21.0,1,0,0,0,0,1,0
264,Gariss,House Stark,,,,50.0,1,0,0,1,0,0,0
265,Garlan Tyrell,House Tyrell,,,,62.0,1,1,0,1,1,1,0
266,Garrett Paege,Lannister,,,,30.0,1,1,0,0,0,1,0
267,Garse Goodbrook,None,299.0,3.0,,,1,1,0,0,1,0,0
268,Garth Greyfeather,Night's Watch,300.0,5.0,31.0,48.0,1,0,0,0,1,0,1
269,Garth of Greenaway,Night's Watch,300.0,5.0,4.0,33.0,1,0,0,0,1,0,1
270,Garth of Oldtown,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
271,Gawen Westerling,Stark,,,,33.0,1,1,0,0,0,1,0
272,Gelmarr,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
273,Gendry,None,,,,27.0,1,0,1,1,1,1,0
274,Genna Lannister,Lannister,,,,33.0,0,1,0,0,0,1,0
275,Gerald Gower,Baratheon,,,,54.0,1,1,0,0,1,0,0
276,Gerold Dayne,Martell,,,,13.0,1,1,0,0,0,1,0
277,Gerren,None,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
278,Gerris Drinkwater,Martell,,,,6.0,1,1,0,0,0,0,1
279,Gevin Harlaw,Greyjoy,299.0,2.0,66.0,37.0,1,1,0,1,0,0,0
280,Ghael,None,,,,71.0,1,0,0,0,1,0,1
281,Ghost of High Heart,None,,,,22.0,0,0,0,0,1,0,0
282,Gillam,None,,,,31.0,1,0,0,0,0,1,0
283,Gilly,Wildling,,,,23.0,0,0,0,1,1,1,1
284,Gilwood Hunter,Arryn,,,,80.0,1,1,0,0,1,0,0
285,Gladden Wylde,Stark,298.0,1.0,55.0,43.0,1,1,1,0,0,0,0
286,Glendon Hewett,Night's Watch,,,,69.0,1,0,0,0,1,0,0
287,Goady,Night's Watch,,,,0.0,1,0,0,0,1,0,0
288,Godric Borrell,None,,,,9.0,1,1,0,0,0,0,1
289,Godry Farring,Baratheon,,,,3.0,1,1,0,0,0,0,1
290,Godwyn,House Lannister,,,,32.0,1,0,1,0,0,0,0
291,Goghor,None,,,,52.0,1,0,0,0,0,0,1
292,Gormond Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
293,Gorold Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
294,Gran Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
295,Grazdan,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
296,Grazdan mo Eraz,None,,,,42.0,1,1,0,0,1,0,0
297,Grazdan mo Ullhor,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
298,Grazdan zo Galare,None,,,,2.0,1,1,0,0,0,0,1
299,Grazdar zo Galare,None,,,,2.0,1,1,0,0,0,0,1
300,Gregor Clegane,Lannister,300.0,4.0,72.0,29.0,1,1,1,1,1,0,0
301,Grenn,Night's Watch,,,,19.0,1,0,1,1,1,1,1
302,Grey Worm,Targaryen,,,,42.0,1,0,0,0,1,0,1
303,Greydon Goodbrother,Greyjoy,,,,1.0,1,1,0,0,0,1,0
304,Grigg,Wildling,,,,30.0,1,0,0,0,1,0,0
305,Grisel,None,,,,68.0,0,0,0,0,1,0,0
306,Groleo,House Targaryen,300.0,5.0,59.0,,1,0,0,0,1,0,1
307,Grubbs,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
308,Grunt,None,,,,12.0,1,0,0,0,0,0,1
309,Gueren,Night's Watch,,,,38.0,1,0,1,0,0,0,0
310,Guncer Sunglass,Baratheon,299.0,3.0,10.0,0.0,1,1,0,1,1,0,0
311,Guyard Morrigen,Baratheon,299.0,2.0,62.0,22.0,1,1,0,1,0,0,0
312,Gwin Goodbrother,Greyjoy,,,,1.0,0,1,0,0,0,1,0
313,Gylbert Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
314,Gyles Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
315,Gyles Grafton,Arryn,,,,41.0,1,1,0,0,0,1,0
316,Gyles Rosby,Lannister,300.0,4.0,39.0,57.0,1,1,1,1,1,1,0
317,Gynir,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
318,Gysella Goodbrother,Greyjoy,,,,1.0,0,1,0,0,0,1,0
319,Haggo,None,298.0,1.0,64.0,11.0,1,0,1,0,0,0,0
320,Hairy Hal,Night's Watch,300.0,5.0,31.0,55.0,1,0,0,0,1,1,1
321,Hake,Night's Watch,299.0,3.0,46.0,52.0,1,0,1,1,1,0,0
322,Halder,Night's Watch,,,,19.0,1,0,1,0,1,0,0
323,Haldon,House Targaryen,,,,8.0,1,0,0,0,0,0,1
324,Hali,Wildling,298.0,1.0,37.0,37.0,0,0,1,0,0,0,0
325,Hallis Mollen,Stark,,,,14.0,1,1,1,1,0,0,0
326,Hallyne,Lannister,,,,17.0,1,0,0,1,0,1,0
327,Halys Hornwood,Stark,298.0,1.0,62.0,53.0,1,1,1,0,0,0,0
328,Hamish the Harper,None,300.0,5.0,43.0,32.0,1,0,0,0,1,1,0
329,Hareth (Mole's Town),Night's Watch,,,,64.0,1,0,0,0,1,0,1
330,Harghaz,None,300.0,5.0,70.0,52.0,1,0,0,0,0,0,1
331,Harma,Wildling,300.0,3.0,75.0,0.0,0,1,0,0,1,0,0
332,Harmund Sharp,Greyjoy,,,,19.0,1,1,0,0,0,1,0
333,Harmune,Night's Watch,,,,78.0,1,0,0,0,0,0,1
334,Harra,None,299.0,2.0,64.0,26.0,0,0,0,1,0,0,0
335,Harrag Sharp,Greyjoy,299.0,5.0,19.0,66.0,1,1,0,1,0,1,0
336,Harras Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
337,Harwood Fell,House Baratheon,300.0,5.0,42.0,17.0,1,1,0,0,0,0,1
338,Hazzea,None,300.0,5.0,11.0,11.0,0,0,0,0,0,0,1
339,Harrion Karstark,Stark,,,,53.0,1,1,1,1,0,0,0
340,Harry Strickland,None,,,,24.0,1,0,0,0,0,0,1
341,Harwin,Stark,,,,1.0,1,0,1,0,1,1,0
342,Harwood Stout,Stark,,,,32.0,1,1,0,0,0,0,1
343,Harys Haigh,None,,,,64.0,1,1,0,1,1,0,0
344,Harys Swyft,Lannister,,,,69.0,1,1,1,1,1,1,1
345,Helman Tallhart,Stark,299.0,3.0,37.0,55.0,1,1,1,0,1,0,0
346,Henly (Maester),None,,,,37.0,1,0,0,0,0,0,1
347,Heward,House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
348,High Sparrow,None,,,,4.0,1,0,0,0,0,1,1
349,Hobb,Night's Watch,,,,52.0,1,0,1,0,1,0,1
350,Hobber Redwyne,Tyrell,,,,27.0,1,1,1,1,1,1,0
351,Hod,None,,,,5.0,1,0,0,1,0,0,0
352,Hodor,House Stark,,,,24.0,1,0,1,1,1,0,1
353,Holger,None,,,,49.0,1,0,0,1,0,0,0
354,Holly,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
355,Hop-Robin,Night's Watch,,,,75.0,1,0,0,0,1,0,1
356,Horas Redwyne,Tyrell,,,,27.0,1,1,1,1,0,1,0
357,Horton Redfort,Arryn,,,,23.0,1,1,0,0,0,1,0
358,Hosteen Frey,None,,,,59.0,1,1,1,1,1,0,1
359,Hoster Tully,House Tully,299.0,3.0,35.0,71.0,1,1,1,1,1,0,0
360,Hot Pie,None,,,,1.0,1,0,0,1,1,0,0
361,Hother Umber,Stark,,,,16.0,1,1,0,1,0,0,1
