char_id,is_character,appears_onscreen,dies_in_narrative
4fb2caf5987b,1,1,1
b62c40c87251,1,1,1
2a38df2793e1,1,1,1
421fc2d1ef1a,1,1,1
4cc3704d5d6f,1,1,1
db25b75092dc,1,1,1
5ae34907c6ce,1,1,0
944f3cd2d2fd,1,1,0
2a42f689605b,1,1,-1
71127c2e3863,1,1,-1
ce677209dc89,1,1,-1
6b41b89ebce5,1,1,-1
30068defbe62,1,0,1
909c6b15b310,1,0,0
fb0fac9ce3b7,1,1,1
89b94706bea3,1,1,-1
049a86078e00,0,1,-1
25866934ea5d,1,-1,1
a06b848cf3f9,1,1,-1
e4001d0fa2ed,1,-1,-1
1eba3caa078f,1,-1,-1
5d4463b51f82,1,-1,-1
fa844111394a,1,-1,-1
d3e4136f03c9,1,-1,-1
53f6567e219e,1,1,-1
a75584d0dee2,1,-1,-1
3af4ebbba4e8,0,1,-1
a4ccd7b7bc74,1,-1,-1
33846bccc23f,1,-1,-1
ac8535fb9686,1,1,1
4b4484a4b669,1,1,-1
dce1bc2385c4,1,1,0
e6021b51fd81,1,1,0
2c0d9e795367,1,1,0
2b08bd94a18c,1,1,0
f503c9e24912,1,1,0
91a34c8bf846,1,1,0
5491d8c16db1,1,1,0
7023df390c0e,1,1,0
da17ab8a6861,1,1,0
3affef4c7886,1,1,0
c12198618a9c,1,1,0
760a2b95b740,1,1,0
3fd2500c7727,1,1,0
c87887e39366,1,1,1
8c3ed9aca9fb,1,1,0
85fa4dd2d1e6,1,1,0
a2cb653cabbf,1,1,0
2a5e02eff542,1,1,0
1291136fa73e,1,1,0
69fc4a65cb7e,1,1,0
26bef744d200,1,1,0
c3ce8ad8f629,1,1,0
2d58aaefbb63,1,1,0
621c93159ab1,1,1,0
7e527a81cd11,1,1,0
213dd84c3fff,1,1,0
398f6e2b5e4f,1,1,0
dcd85e94128c,1,1,1
1f3df52e1c58,1,1,0
789a47ace914,1,1,0
aebd18769669,1,1,0
0603a022fd19,1,1,0
e8b2ba58abe5,1,1,0
77e9c13dfaf7,1,1,0
1de9b19f642f,1,1,0
82e72bebcbbc,1,1,0
da0767736f1c,1,1,0
694195c234da,1,1,0
cbcf54cee39f,1,1,0
15a898565592,1,1,0
191abb47824f,1,1,0
be6a6b369afc,1,1,0
5edb166737e9,1,1,0
235730dd5f19,1,1,0
2b0eb7008bb0,1,1,0
2f6c8ef8ec25,1,1,0
28cdd0235371,1,1,0
4fb48e001bc1,0,1,0
5bf693fbaf36,1,1,0
65ee4515afe5,0,1,0
15c1308a613e,0,1,0
ddcc256b9405,0,1,0
c13c8a9d189b,0,1,0
4b847adf8da3,0,1,0
f89be77c404c,0,1,0
d6f018a9aead,0,1,0
c04d1b5d0081,0,1,0
dbd8b7783d57,0,1,0
aaaec4bf7a81,0,1,0
41614bf58b1b,0,1,0
e06b0de34858,0,1,0
0d360633a4e0,0,1,0
86aabe3cd313,0,1,0
1c211879dd43,0,1,0
70778388e801,1,1,0
4add223b434a,0,1,0
8f415cf64b41,1,1,0
808a325abac8,1,1,0
6b0451e572a8,0,1,0
8473a2c11f88,0,1,0
0c7054ffe792,0,1,0
45bf817f2317,0,1,0
c1ccc5e34ef9,0,1,0
7f4dd4e90168,0,1,0
7ffa4fe20945,1,1,0
404531d2f21d,0,1,0
45720fd0a813,0,1,0
18c41bb446e1,1,1,0
f5b7d036de1c,1,1,0
408e8a1e8fc5,1,1,0
5d2a79c7b5d2,1,1,0
34f24e42906e,1,1,0
b705a3684249,1,1,0
ecc0fdaedcac,1,1,0
1be3d016bdba,1,1,0
c2896180feb4,1,1,0
4f3242600f81,1,1,0
a51cba7e6d9b,1,1,0
55c80a19c910,1,1,0
8b42399277f8,1,1,0
bfe6542202d2,1,1,0
507109a8393d,1,1,0
c8b315610af0,1,1,0
a29aefc0da17,1,1,0
c500f3070326,1,1,0
6ce6dc8e0b85,1,1,0
cee7da5a8f60,1,1,0
3668761f637a,1,1,0
eb8d3fd91d04,1,1,0
0cc0c06f0262,1,1,0
b9a6c787eece,1,1,0
33693d0fb4fa,1,1,0
dd2f1e4c7b07,1,1,0
a8c1710db2e1,1,1,0
7fe1ec92be3e,1,1,0
10a879efbca9,1,1,0
e9d573442afe,1,1,0
e7d0fe4c61e0,1,1,0
2b1092938609,1,1,0
c0abd4a2c24e,1,1,0
b77a464e75ec,1,1,0
6adfc9c33c6e,1,1,0
e64defcd21bc,1,1,0
9b70032240a1,1,1,-1
33ceaf05b996,1,1,0
c880b3c2bfcb,1,1,0
9aa733ffa0c5,1,1,0
4bb1a681cc1b,1,1,0
393928732f3b,1,1,0
d241c6091c91,1,1,0
5aa1b1e9517d,1,1,0
12184ca3b6c9,1,1,0
de4f391f3c13,1,1,0
cc39f15f2821,1,1,0
0e2ad48a48e5,1,1,0
1b81d606715a,1,1,0
e8f2b0759bd0,1,1,0
3ec8a3394649,1,1,0
f9f51eb0fb50,1,1,0
5e26d72f9ba2,1,1,0
e63611af416a,1,1,0
2892f5f5953c,1,1,0
24f63a061589,1,1,0
13ec88831eec,1,1,0
9e9da0d69502,1,1,0
80e7465ec42f,1,1,1
f5a5dc39f86d,1,1,0
ae833cbc6ff0,1,1,0
e55b37870bda,1,1,0
072cb52715f9,1,1,0
f124be07b015,1,1,0
8018c0b2869f,1,1,0
2f8f6d17148b,1,0,0
fdfdecd9fcf0,1,0,-1
c62e2e227825,-1,0,-1
72bbbf902f76,1,0,-1
1014cc973df9,1,1,0
2e393e3c08c2,1,1,-1
50ae37cf4e5b,1,1,0
17ff3c293572,1,1,0
bae58e9c145b,1,1,0
01649b4279fe,1,1,0
441869419d9e,1,1,0
dc6d82109111,1,1,0
0fbce8c3e62f,1,1,0
c43726b79f7b,1,1,0
aa8c1259601d,1,1,0
1f65d6401bb7,1,1,0
fedc09fcaad5,1,1,0
f304dd859e00,1,1,0
be725ba6cf0a,1,1,0
83171ef388f9,1,1,0
b6086d335ce6,1,0,-1
b0b28583f941,1,1,0
11f52bfdbcf8,1,1,0
cc4c48bcc8a0,1,1,0
caca27addfdd,1,1,0
a071f0e70bf7,1,1,0
09a9263afae7,1,1,0
0c51e256bf1c,1,0,-1
0d28803dac76,1,1,0
5554436e7a70,0,0,-1
427b01fbfff9,1,1,0
ab00937cb21c,1,1,0
88ac1fdd1548,1,1,0
d798e9a83c61,1,1,0
0f46e8aeb292,1,1,0
a0a1852a1f50,1,1,0
23f20e6cce81,1,1,0
c8fc5f7ca711,1,1,0
793b95c5ad3f,0,0,0
dd5892232050,1,1,0
b0aac85b58f0,1,1,0
2eaf0ef137fe,1,1,0
ecc60e4c3075,1,1,0
e6fc930a8d87,1,1,0
d3f3dfb6f345,1,1,0
be528ac47b8e,1,1,0
98866d4a8e86,1,1,0
1a8de82b0313,1,1,0
33059242e0d1,1,1,0
535146e4873b,1,1,0
6cecd12b2faa,1,1,0
2c35fc5c5acc,1,1,0
306eb0be9191,1,1,0
5a8f8458ed9a,0,0,0
633e95ea3374,1,1,0
065d6b8597a2,0,1,0
efc61f16c913,0,1,0
a43f70ce8623,0,1,0
2d97851438ad,1,1,0
ce4ac1443519,1,1,1
b0c81bbb89b7,1,1,0
fd6372685ec5,1,1,0
5fff6def21c8,1,1,0
f8604eea0414,1,1,0
30e56b175e2d,1,1,0
4f55a4b14c8b,1,1,0
4269b60b2919,1,1,0
c0a9fad685f5,1,1,0
7f1c78bd0ec8,1,1,0
d2cd877b40c7,1,1,0
81e125886e6c,1,1,0
4a0f64c740db,1,1,0
429181af251a,1,1,0
5bfad1b251e9,0,1,0
22d1e2aec311,1,1,0
d24c254c5bc4,1,1,0
5dc6adad16d5,1,1,0
37154cfcbb83,1,1,0
1ad35ea061a4,1,1,0
ca1b3916b114,1,1,0
a1777820f217,1,1,0
d668b312d5ec,1,1,0
f8cbe89f1a50,1,1,0
7ca921d727fa,1,1,0
61b2212a9aca,1,1,0
f8b538270b2b,1,1,0
ba637ca273fd,1,1,0
0d846a72093e,1,1,0
a909fc504075,1,1,0
69fc09e379d3,1,1,0
68f1b6f9b99c,1,1,0
2d7ca6a6c94f,1,1,0
3bb4bb554fa5,1,1,0
7de92b9340d4,1,1,0
15fefd682d84,0,0,0
2e8935399ba9,1,1,0
31dbdab71f27,1,0,0
1be8c96ed419,1,1,0
ce33ce434a0b,1,1,0
faf8caade6cc,1,1,0
f0e6c311a38e,1,1,0
ede229da1676,1,1,0
e6d01edef8b3,1,1,0
165caa855a7f,0,1,0
e6db5f946a23,1,1,0
3a22a66a8019,1,1,0
d65196580668,1,1,0
5a05fbc009fe,1,1,0
e1e51c3bc511,0,0,0
3c454e33c662,1,1,0
feef6d4c866d,1,1,0
fcd46629a5b9,1,1,0
3abd6d41693d,1,1,0
50beaa14e8a9,1,1,0
25753c7d3bf3,1,1,0
f492a1853740,1,1,0
204ed5ed0bc7,1,1,0
7a5d19b423ea,1,1,0
c28fd7fc8ea1,1,1,0
6f77d4ecdcc1,1,1,0
02153a5aff2a,1,1,0
b2a7013b5404,1,1,0
0e95d9980bb3,1,1,0
dcc36c5c3d4e,1,1,0
6b0fe0ad3796,0,1,0
82c7c44295b6,1,1,0
17c4637816f0,1,1,0
7b6736622729,1,1,0
fe22f32bf233,0,1,0
e0ba39b2e6f4,1,1,0
5954ab615ae5,1,1,0
aef111067432,1,1,0
80f84f82da95,1,1,0
b6e5e88c9970,1,1,0
9d3de1e01368,0,0,0
5b1eb1812a8e,1,1,-1
d8735adfc343,1,1,0
7569de060d99,1,1,-1
795cf5c0c2e2,1,1,-1
43cdc995bf4e,1,1,-1
1ae9a7a2b0b7,1,1,-1
36334525ac73,1,1,0
230c5a0364bb,1,1,0
788ff2220a5f,1,1,-1
6be1cbe1a2e3,1,1,-1
5264b989c137,1,1,0
1e429510c5ce,1,1,-1
6877be6507ee,1,1,-1
5019f2e6e7a8,1,1,-1
4aff88295cf9,1,1,-1
d75e31ac87ab,1,1,-1
145737bf3811,1,1,-1
c11120abf018,1,1,-1
bae2ee8b44e5,1,1,-1
17e14cbc28c3,1,1,-1
cd3d0a169c16,1,1,-1
c861f25cd96b,1,1,-1
2564ca0506fd,1,1,-1
c95bf729e5c0,1,1,-1
8b6654f4dede,1,1,-1
ae8d0bb4e352,1,1,-1
fe4dcd8d43c9,1,1,-1
42a44eaacc8b,1,1,-1
61376cc90c44,1,1,-1
efeabb9f6045,1,0,-1
9424d9e39f56,1,1,-1
a83940985b6b,1,1,-1
5118a05a7e73,1,1,-1
1ef865b3a850,1,1,-1
d0b37f96d5b1,1,1,-1
3e4ea85381dc,1,1,-1
07bfe57e3ec2,1,1,-1
53265bb800b9,1,1,-1
400fe63d34e2,1,1,-1
eecf16093061,1,1,-1
faeed61f00e7,1,1,-1
6dcbf5669280,1,1,-1
b41653248a4f,1,1,-1
3e32413e057e,1,1,-1
73f2fff146fd,1,1,-1
6fac01897ed9,1,1,-1
12980ece72bd,1,1,1
0510abb8ff7f,1,1,-1
1cd40f61b7a5,1,1,1
fd1b95f92955,1,1,-1
56d4851a4294,1,1,1
b1ddc2d79b77,1,1,-1
776429f9e739,0,-1,-1
7473d79084ac,1,1,-1
bd30aabbe1be,1,1,-1
8254104e84e5,1,1,0
235416679db4,1,1,-1
6bc81b0021d7,0,0,0
1ae581edadb9,0,0,0
51267b95ab7e,1,1,-1
fdc253b96384,1,1,0
8c1ccc0803d2,0,0,0
127c122fc725,1,1,-1
25ef50d877e7,1,1,-1
171c0d0a58e5,1,1,0
d6933904b731,1,1,0
0d87f953358e,1,1,0
9b4b0cdabada,1,1,0
e41686b5b6e8,1,1,-1
e0d2a6217b11,1,0,-1
377a232df7e8,1,1,-1
8165bfbe3916,1,1,-1
08a4a4a5b569,1,1,-1
88b2c8b8f711,1,1,-1
eea2eeba17d6,1,1,-1
48343d665ed1,1,1,-1
9cd60efda1dc,1,1,-1
ea0905c66b33,1,1,-1
17ac3306b049,1,1,-1
dbef592f78f4,1,1,-1
11ce4e8ce862,1,1,-1
eef4086b2622,1,1,-1
9c6252eb5eb5,1,1,-1
6348dcaf85ef,1,1,-1
5ec9e3a4cada,1,1,-1
f0f6eca32361,1,1,0
970e604348c1,1,1,-1
ab385cb22f6c,1,1,-1
659261639bb4,1,1,-1
0298047a4f78,1,0,-1
7b8e7108a236,1,1,-1
71e25548985b,1,1,-1
fcbef9bfd2bb,1,1,-1
60d3e9d1eeb0,1,1,-1
fa5036dbc335,1,1,-1
ed3bd7c65b28,1,1,-1
5d4e2c250e23,1,1,-1
78a655a4cd76,1,1,-1
b432a0b28bfe,1,1,-1
6bb8d624ab53,1,1,-1
5e39aa69bcc9,1,1,0
03fe5e836ec8,1,1,0
c0a4ec06ce31,1,0,1
371978921329,1,1,0
539841cbc69d,1,1,0
b98c7ad03553,1,0,-1
f97ff5a08374,1,1,0
9f9383fda8fe,1,1,0
459fe4109633,1,1,-1
849d86339bb1,1,1,-1
a4996a63550e,1,1,0
5f28c3ae8ca0,1,1,0
6811751064a2,1,1,0
02e9611cd7f8,1,1,0
624c10e06b67,1,1,-1
50af8efba883,0,1,-1
336ea1e8c82f,0,0,-1
a7bd0c8e4459,1,1,0
36b9a230853f,1,1,0
d25be79beb05,1,1,0
fe3d55e6c2ce,1,1,0
1ae5aa283362,1,1,0
4c0f8d6497b8,1,1,0
dcb09aabf162,1,1,0
34614b1b99b9,1,1,0
38fef7173c1b,1,1,0
ee396875ef97,1,1,0
a529795bc660,1,1,0
6cdd41c7ccb1,1,0,-1
2ccaad59fed4,1,0,-1
08b24e1c8a14,0,0,-1
0780aaa35428,0,0,-1
505344e078e1,1,0,-1
3807a34d0234,1,1,0
98b641256cba,1,1,0
ead1f3b2a942,1,1,0
e4d374bac7cb,1,1,0
4148249976b3,1,1,1
0480d9f2473c,1,1,0
fb59302e2695,0,0,-1
18f2ed128dc5,1,1,0
9388a0fc5d31,1,0,-1
236379a6ed14,0,0,-1
0c3ec529f48a,1,1,0
cdc3d18b2350,1,1,0
9662dc45e470,1,1,0
1a5fe111e431,1,1,0
163b594b745c,1,1,0
62e162133b04,1,1,0
76985075bea7,1,1,0
2c94d501d6c8,1,1,0
78c7bbb639df,1,1,0
c8abc90a66b2,1,1,-1
a091d97c143e,1,1,0
2dcf5cdf7942,1,1,0
c466b9661b15,1,1,0
1e2330e6e452,1,1,0
f8fe5e305d75,1,1,1
45bf6b51759e,1,1,-1
5f21e265334c,1,1,0
a7a018929d77,1,1,-1
77cbbd2d2715,1,1,-1
ed2993324880,1,-1,-1
7ab75b0c092f,1,1,-1
673495211176,1,1,0
4f3919d67a17,1,1,0
2f3db1711711,1,1,0
f32e05caa1f2,1,1,0
e9a78a4724e2,1,-1,-1
8b6020545175,0,1,-1
5d99e201d721,1,1,0
938d290baddc,1,1,0
391684f1d4cb,1,1,0
2c1e4fe7d91f,1,0,-1
fab2c5107fb2,1,0,-1
695e67443a38,1,1,0
44ce15201900,1,1,-1
93557061f615,1,1,-1
316a8e873772,1,1,1
5af80a3680e0,1,1,-1
71aa322d5ef0,1,0,-1
9be34b6f9433,1,1,-1
26dc12926931,1,-1,-1
e19c0596f3a9,1,1,0
55f8477d89b3,1,1,1
a9340cbbe363,1,1,0
194355e7668d,1,1,-1
54e9f2459a4d,1,1,-1
aaee5120185f,1,1,0
5483fe9ae800,1,1,0
d8b87a182de2,1,1,0
c67ae973c066,1,1,0
11f338aedb1d,1,1,-1
619ce979b46c,1,1,-1
fb90db0e4b3b,1,1,1
0acd2f820b88,1,1,-1
c2d2837f0c65,1,1,-1
e6adae4f2efe,1,1,-1
187c023cf522,1,1,-1
6b9e42e99cc6,1,1,-1
64dcd1f5a16a,1,1,0
2195aeadb99f,1,1,-1
bffd4f821851,1,1,-1
a056713297ce,1,1,-1
d489842142f4,1,1,-1
78c4ef90a9b8,1,1,0
127f3730c54b,0,1,0
39e5ab039fba,1,1,0
321aff1ef00a,1,1,0
99139985df32,1,1,0
f19da7fae744,1,1,0
d78b7fcb733d,1,1,0
89d01ba6db2b,1,1,0
0ed9045dae56,1,1,0
75a93cfee809,1,1,0
6095c4a9ce08,1,1,1
624f9310326a,0,-1,-1
881c58aaf5c2,1,1,0
8944cb329ee0,1,1,0
7ffcdb2fa344,0,1,0
6a568f2dafa4,1,1,-1
875317a2919d,0,-1,0
3b8660482dc6,0,-1,-1
aa6421687e7f,0,-1,-1
a9ca1aaefc68,0,-1,-1
7350a8156f01,0,-1,-1
74725c067ca9,0,-1,0
6504b43967e2,0,-1,-1
17607c9866c9,0,-1,-1
d5bcd2f3a81e,0,-1,-1
957bab3a744b,0,-1,-1
851022b878da,0,-1,-1
5823b56dae62,0,-1,-1
c972a61447de,0,-1,-1
b431240336dc,0,-1,-1
6ece6e2e841b,0,-1,-1
584ea7c782c7,1,1,0
de81e7e290cf,1,1,-1
045bad73bc1c,1,1,-1
8d212c0d8b09,1,1,0
13fe9ae39802,1,1,0
a1556be8c428,1,1,0
b75892b3a93b,1,1,-1
b68e2a0ce926,1,1,0
4206134b9158,1,1,-1
1863dd27eddb,1,1,0
ab09b1c1d04f,1,1,-1
a028f9a8d92f,1,1,-1
068ee06d7180,1,1,-1
90c08563692c,1,1,-1
89cc60281907,1,1,-1
a06f289baead,1,1,0
27234f67ce55,1,1,-1
a1fdd6563017,1,1,-1
e24589cf2e4b,1,1,0
997ec3b8b712,1,1,0
2ec4f41f1d66,1,-1,-1
06e6fe7d959c,1,1,0
7168bf699bfc,1,-1,-1
a52cfdaf0d1d,1,1,0
36acd212020a,1,1,-1
e744424860b7,1,-1,-1
7c7e42d27ea6,1,-1,-1
38d27a246c81,1,-1,0
b32d1aaf968c,0,1,0
97de0669322f,1,1,0
977402c621a8,1,-1,-1
def1a83034f3,1,1,-1
82d7d329961a,1,1,-1
881b33ef77e8,1,1,-1
e3b496face09,1,1,-1
e0f10532e083,1,1,-1
d000461a0f21,1,1,-1
f2a4513389ef,1,1,-1
cbb45735b50d,1,1,-1
794398add225,1,1,-1
419f49eee6c1,1,1,-1
1f9962d1c33c,1,1,-1
5e8cc23eb7ba,1,1,-1
e8d29cfdeb8f,1,1,-1
42ef00dca68d,1,1,-1
82a13806f29a,1,1,0
7b915a197124,1,1,-1
b216664652b1,1,1,1
5ad5cb5fbbbd,1,1,-1
d6cbb6ed0cb4,1,1,-1
7800c41f2095,1,1,-1
4d3b54d652d9,1,1,-1
25a2fbf05a82,1,1,-1
e20ca71f1e47,1,1,1
4eeedcd36386,1,1,-1
f81f50dc1979,1,1,1
59791e8405b4,1,1,1
4426869e960d,1,1,-1
dabf2e9430ae,1,1,-1
2e0489ba242a,1,1,-1
8dab45b38734,1,1,-1
936ea30db9c6,1,1,0
dcbfed656951,1,1,-1
d7f0e6e2e393,1,1,-1
275cb637d2e1,1,1,-1
6ca0b17c8b03,1,1,0
489406e7982e,1,1,-1
fada0e8581ff,1,0,-1
00bf1e533078,1,1,0
0a011a2cee79,1,1,-1
a9b283187c5c,1,1,-1
50dd425fb824,1,1,0
661bf7493bc2,1,1,-1
cf91eca4a42b,1,1,0
6288fba9df67,1,1,-1
500a71d51523,1,1,-1
7707edf08fd1,1,1,0
72f63d967284,1,1,-1
38ff1e850971,1,1,-1
a4fd83004391,1,1,-1
b3c8262d1dd9,1,1,-1
eb717b2ea6c4,1,1,-1
a7fb97173ef0,1,1,-1
9eec86dea419,1,1,-1
12bdc8c39ebe,1,1,-1
6f485d5f9e65,1,1,-1
0284d6f3aaf2,1,1,-1
6f3c6a49abd0,1,1,-1
d4617cc8490b,1,1,-1
2fc327b542a0,1,1,-1
2082e0f3e163,1,1,-1
9151dbae2e0c,1,1,-1
a155bd694daf,1,1,-1
9d4e2b351470,1,1,-1
ec3e21f27360,1,1,-1
9bc2e3b90e37,1,1,-1
a30a6942ce76,1,1,-1
bd51b5cb2deb,1,1,-1
69053379273e,1,1,-1
c9ff43fc8502,1,1,-1
4dec1e76ebf7,1,1,-1
a09e6b1a92b4,1,1,-1
556c1d8ec975,1,1,-1
95a481ecafd9,1,1,-1
0bb76da33f65,1,1,-1
0e146bdb8e6a,1,1,-1
7d2828cedb73,1,1,-1
77fe2843c7b5,1,1,-1
0fed1cade337,1,1,0
a263cbb04678,1,1,-1
c3527842dbca,1,1,-1
60afde479b72,1,1,-1
d0edbc8f5a31,1,1,0
ff3da558fc1d,1,1,-1
6c8bfe100790,1,1,-1
3710e7957ab6,1,1,-1
a8b3d2361a59,1,1,-1
b065f3f236ef,1,1,-1
590db68d45c9,1,1,-1
a628f15f138c,1,1,-1
50c21dd6386f,1,1,-1
0eabf80bbc89,1,1,-1
cf5b4abf13d5,1,1,-1
0824c75847e1,1,1,-1
c23f21e51ee9,0,1,-1
afea477c0834,1,1,-1
a18d97ef518b,1,1,-1
bd95bbf67604,1,1,-1
c8706f2d947e,1,1,-1
0a95a9e19e52,1,1,-1
3e158edbe397,1,1,0
e0ea89571e74,1,0,0
b66debbdc071,1,1,-1
53089aa7b9d7,1,1,1
1597ab81ac51,1,1,-1
8d9785696785,1,1,-1
2056b2b04729,1,1,1
fd6164b21a5c,1,1,-1
9e36e8d50235,1,1,-1
01854969ba96,1,1,-1
2aa0ba3888a2,1,1,-1
b31d890e1931,1,1,-1
e3e651cf8f3d,1,1,-1
47d9caee0cbd,1,1,-1
b7a08d778457,1,1,1
9ba8a23e5405,1,1,1
fa78570b270d,1,1,0
f0a5d07a783a,1,1,-1
b1112a8bcd10,1,1,-1
e54fc9580fee,0,1,-1
59fc896a9ddc,-1,0,-1
2f4035ecd883,-1,0,-1
73e241fd5b66,-1,0,-1
311ea6bc5bcb,-1,0,-1
fa63f837929c,1,1,-1
17048cd0cce9,1,1,-1
9d0f76d30d4d,1,1,-1
2d83a41c18d8,1,1,-1
1decd9c76369,1,1,-1
eecd06fe3e6c,1,0,-1
93f472436ca8,1,0,-1
fd581155dc1e,1,0,-1
8d642752b960,1,1,0
6204ec97dd66,1,1,-1
ca691c506cb0,1,1,0
b4de9969026c,1,1,0
7d6d644e16a8,1,1,0
8c60b4625c6b,0,0,0
b725801ac265,1,1,1
2eb728992eff,1,1,0
d328de258708,1,1,0
ce092c3454a1,1,1,0
7cedbaf9b1a8,1,1,0
d1109c2d2140,1,1,-1
ed89fe30c08b,1,1,-1
f98590d49085,1,1,-1
e6e34bbc302c,1,1,-1
a1dd51c26f5b,1,1,0
e9c3c650ac7d,1,1,0
8f626f174533,1,1,1
fd9842eea506,1,1,-1
9596e51151c0,1,1,-1
486fe24ddafb,1,1,0
97c60545ce1d,1,1,-1
8f4f0a71737d,1,1,-1
e9adcb1c8437,1,1,1
b803b7c14891,1,1,-1
f662185b8a01,1,1,-1
1b2f8cc3682e,1,1,-1
c4223109126f,1,1,1
edceb8a4276d,1,1,-1
0005ef64a521,0,1,0
f6e0cdbff592,1,1,-1
7d84216cb42f,1,1,-1
16d0061117a1,1,-1,-1
60b4990dbbb8,1,1,-1
0fb90d923eac,1,1,-1
cbd9ccc0aa53,1,1,-1
351a5d1e2aae,1,-1,-1
be00751afc26,1,1,-1
f452f0e368a2,1,1,-1
ab4c819ed792,1,1,-1
f901192f812e,1,1,-1
6579f2d203e3,1,0,-1
5891a0cbbcd5,1,1,-1
632a9272f570,1,1,-1
ad854e4d73a3,1,1,-1
d11d60499f06,1,0,-1
0186f3d8d1b5,1,1,1
72c84ea9429a,1,1,-1
936a3b355d16,1,0,0
90418328992e,1,1,-1
e7aaade7817c,1,1,-1
ade0febad409,1,1,-1
37cffc8e154c,1,1,-1
7f5ac1268c35,1,1,-1
6eb62b8729c6,1,1,-1
8bd1d17ae362,1,1,-1
f9f1815548a7,1,1,-1
a8961898a446,1,1,0
05275d4c5803,1,1,-1
fb697cb9fdfb,1,1,-1
6e92a058e377,1,1,0
6ea7f2a08a74,1,1,-1
0c1fb8e74baa,1,1,-1
1eced5ffcda5,1,1,-1
57b39a2fd100,1,1,-1
e2003049ff96,1,1,-1
86ddf59f94ae,1,1,-1
836648af71cd,1,1,-1
8ebd719d78df,1,1,1
2d2ffe9103c2,1,1,0
d6ffef77854a,1,1,-1
184162647096,1,1,-1
abff216e6f7a,1,1,-1
19d1d784a23c,1,1,0
f96da1e02db7,1,1,0
5d8f16b4b4a1,1,1,-1
c3ebd6b99e9b,1,1,-1
57d80f95c359,1,1,-1
1ebbf5826dcc,1,1,-1
cd5cd7f869b4,1,1,-1
328fe6b2d97b,1,1,-1
1c3fb3a58c65,1,1,-1
19d169fa0f06,1,-1,-1
a520f9203d41,1,1,-1
d747f9794656,1,-1,-1
4f73256b3657,1,1,-1
b591e8ffa5a4,1,1,-1
d2f4d95bb8ea,1,1,-1
475c67571a8f,1,1,-1
f4a206546f86,1,1,-1
e593f7f414d3,1,1,-1
c537bece45c9,1,0,1
79121b98d36e,1,1,-1
57d8755973c3,1,1,-1
e66badd49e8b,1,0,0
052cfc359b87,1,1,-1
319dc3ea639b,1,1,-1
45454c45165b,1,1,-1
9f0a43790ed6,1,1,-1
dfdd9a2c5089,1,1,-1
4c0e78a6aac7,1,1,-1
