Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
Brell,https://the100.fandom.com/wiki/Brell,https://static.wikia.nocookie.net/thehundred/images/1/18/5x13-Brell_crops.jpeg/revision/latest?cb=20190103230736,Red Queen,Earth (former) Second Dawn Bunker (former) Eligius IV (current),,,Damocles (Part 2),Unknown (either deceased or transcended),,Five,,Barbara Beall,,Female,Sangedakru Delegate (former) Wonkru Guard (former),Sangedakru Wonkru,,
Brenda Turner,https://the100.fandom.com/wiki/Brenda_Turner,https://static.wikia.nocookie.net/thehundred/images/2/2c/Brenda_Turner_%28His_Sister%27s_Keeper%29.png/revision/latest?cb=20250829003142,Pilot,Earth (current) The Ark (former) The camp,,,His Sister's Keeper,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Briggs,https://the100.fandom.com/wiki/Briggs,https://static.wikia.nocookie.net/thehundred/images/c/c7/Join_Or_Die-Briggs.jpg/revision/latest/scale-to-width-down/268?cb=20230302174631,Join or Die,The Ark (former) Arkadia Earth,Knife thrown to the chest,,Red Sky at Morning,Deceased,,Three,Indra,Uncredited,,Male,Arkadia Guard,Sky People A.L.I.E.'s Cult,,40s
Brittany Thompson,https://the100.fandom.com/wiki/Brittany_Thompson,https://static.wikia.nocookie.net/thehundred/images/f/f5/Brittany_Thompson.png/revision/latest?cb=20250828174239,Pilot,Earth (current) The Ark (former) The camp,,,Earth Skills,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Bruno Huber,https://the100.fandom.com/wiki/Bruno_Huber,https://static.wikia.nocookie.net/thehundred/images/b/b8/Delinquent_in_crowd_%28I_Am_Become_Death%29.PNG/revision/latest?cb=20201106113705,Pilot,Earth (current) The Ark (former) The camp,,,I Am Become Death,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Bryan,https://the100.fandom.com/wiki/Bryan,https://static.wikia.nocookie.net/thehundred/images/5/50/4x02_Bryan_Crop.png/revision/latest/scale-to-width-down/268?cb=20170227230447,Watch the Thrones,Earth (current) The Ark (former) Farm Station (former) Arkadia (former),Radiation (presumably),,Heavy Lies the Crown,Unknown (presumably dead),,"Three , Four",Second Nuclear Apocalypse,Jonathan Whitesell,"Several Azgeda slavers at Farm Station (alongside Bellamy , Monty , Harper and Nathan Miller )",Male,Arkadia Guard (former),Sky People Pike's Faction (former) Kane's Faction Resistance Against A.L.I.E.,Nathan Miller (former boyfriend),
Bryson,https://the100.fandom.com/wiki/Bryson,https://static.wikia.nocookie.net/thehundred/images/c/c5/611_Bryson_bigger_picture.png/revision/latest/scale-to-width-down/268?cb=20230912122432,Ashes to Ashes,Sanctum,Mind-Wiped,,Adjustment Protocol,Deceased,,Six,Russell Lightbourne,Ian Butcher,,Male,Sanctum Guard,Sanctumites Primes,,30s
Cage Wallace,https://the100.fandom.com/wiki/Cage_Wallace,https://static.wikia.nocookie.net/thehundred/images/6/67/CageCrop206.jpg/revision/latest/scale-to-width-down/268?cb=20141206183535,Human Trials,Earth Mount Weather,Blood loss (caused by a severed hand and Red injection),,Blood Must Have Blood (Part 2),Deceased,,Two,Lincoln,Johnny Whitworth,5 Delinquents Keenan Mykulak 250 Grounders and Sky People in Tondc,Male,Mount Weather Head of Security President of Mount Weather,Mountain Men,Dante Wallace † (father) Unnamed grandfather † Unnamed grandmother † Unnamed aunt †,
Caleb Mason,https://the100.fandom.com/wiki/Caleb_Mason,https://static.wikia.nocookie.net/thehundred/images/6/63/613_Caleb_big_crop.png/revision/latest/scale-to-width-down/268?cb=20210812220951,Red Sun Rising,Earth (former) Alpha (current),Shot (prime) Floated (VII),Caleb VII Caleb Prime,The Blood of Sanctum,"Deceased , 2281 ; Eligius IV",Sometime before the first Nuclear Apocalypse,,Russell Lightbourne (prime) Clarke Griffin (last host),Ian Butcher (last host),,Male,,Eligius Corporation (former) Mission Team Alpha (former) Primes Sanctumites,Jasmine Mason † (daughter) Miranda Mason † (wife),30-35 (prime) 236 () 35-40 (last host)
Minor Characters,https://the100.fandom.com/wiki/Caliban,,,,,,,,,,,,,,,,,
Callie Cadogan,https://the100.fandom.com/wiki/Callie_Cadogan,https://static.wikia.nocookie.net/thehundred/images/3/3e/Callie_Cadogan_708_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200703184430,Thirteen,Earth Second Dawn Bunker (former),Unknown,Cal Calliope Calamity (by Reese ) Psych Ward Santa Kalliope Pramfleimkepa Kalliope kom Trikru,Anaconda The Dying of the Light (memory),Deceased,"2034; Earth , Baltimore","Three , Seven",,Iola Evans,,Female,Student (former) Flamekeeper,Second Dawn (former) Tree Crew Grounders,Bill Cadogan † (father) Grace Cadogan † (mother) Reese Cadogan † (brother) Unnamed grandfather †,18-20 ( Anaconda )
Cameron,https://the100.fandom.com/wiki/Cameron,https://static.wikia.nocookie.net/thehundred/images/6/66/707_Unnamed_scientist.png/revision/latest/scale-to-width-down/268?cb=20200702143223,The Queen's Gambit,Bardo,,,Anaconda,Transcended,Unknown; Bardo,Seven,,Yee Jee Tso,,Male,Member of the Disciple Cipher Team,Disciples,,40s-50s
Candice Stafford,https://the100.fandom.com/wiki/Candice_Stafford,https://static.wikia.nocookie.net/thehundred/images/a/a5/Candice_Stafford_%28Earth_Skills%29.png/revision/latest?cb=20250830190939,Pilot,Earth (current) The Ark (former) The camp,,,Twilight's Last Gleaming,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Captain Meredith,https://the100.fandom.com/wiki/Captain_Meredith,https://static.wikia.nocookie.net/thehundred/images/1/11/704_Captain_Meredith_crop.png/revision/latest/scale-to-width-down/268?cb=20200612011153,Hesperides,Bardo (former) Alpha (former),Shot,Captain Meredith,Welcome to Bardo,Deceased,,Seven,Raven Reyes,Josh Blacker,,Male,Disciple,Disciples,,
Captain Stevens,https://the100.fandom.com/wiki/Captain_Stevens,https://static.wikia.nocookie.net/thehundred/images/6/61/Captain_Stevens.png/revision/latest/scale-to-width-down/268?cb=20180509201651,Sleeping Giants,Earth (former) Eligius IV,Throat slit,Captain,Sleeping Giants,Deceased,Earth,Season Five,Paxton McCreary,Bob Frazer,,Male,Eligius IV Captain,Eligius Corporation,,Unknown
Caris,https://the100.fandom.com/wiki/Caris,https://static.wikia.nocookie.net/thehundred/images/d/dc/Caris.jpg/revision/latest/scale-to-width-down/268?cb=20150305174529,Resurrection,Earth,,,Blood Must Have Blood (Part 1),Unknown,,Two,,Morgan Taylor Campbell,,Female,Warrior's Second,Sangedakru,,
Carl Emerson,https://the100.fandom.com/wiki/Carl_Emerson,https://static.wikia.nocookie.net/thehundred/images/9/99/CarlEmerson.png/revision/latest/scale-to-width-down/268?cb=20150218150847,Remember Me,Mount Weather (former),Brain liquified by A.L.I.E. 2.0,Lieutenant The Last Mountain Man Emerson,Demons,"Deceased , 2150 ; Arkadia",,"Two , Three",Clarke Griffin,Toby Levins,250 Grounders and Sky People in Tondc 49 Sky People (indirectly) Jacapo Sinclair,Male,Mount Weather Guard (former),Mountain Men Azgeda (former),Unnamed brother † Aaron Emerson † (son) Unnamed Child †,Late 30's
Caspian,https://the100.fandom.com/wiki/Caspian,https://static.wikia.nocookie.net/thehundred/images/4/45/Caspian2x12.PNG/revision/latest/scale-to-width-down/268?cb=20160208081121,Survival of the Fittest,The Ark (former) Earth (former) Arkadia (former),,,Rubicon,Most likely deceased,,Two,,Christian Tessier,,Male,,Sky People Jaha's followers (former),,30s
Cassius,https://the100.fandom.com/wiki/Cassius,https://static.wikia.nocookie.net/thehundred/images/b/b3/6x03_Cassius.png/revision/latest/scale-to-width-down/268?cb=20190515142903,The Children of Gabriel,Sanctum,,,Adjustment Protocol,Unknown,,Six,,Sean Kuling,,Male,Sanctum Guard,Sanctumites,,
Cate Cameron,https://the100.fandom.com/wiki/Cate_Cameron,https://static.wikia.nocookie.net/thehundred/images/6/66/Cate_Cameron_%28Murphy%27s_Law%29.png/revision/latest?cb=20250828220109,Pilot,Earth (current) The Ark (former) The camp,,,Contents Under Pressure,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Cece Cartwig,https://the100.fandom.com/wiki/Cece_Cartwig,https://static.wikia.nocookie.net/thehundred/images/f/fa/Callie-C01.jpg/revision/latest/scale-to-width-down/268?cb=20210804022351,Pilot,The Ark,Executed ( floated ),Cece,Pilot,Deceased,,One,,Kelly Hu,,Female,Communications Officer,Sky People,,
Character Appearances,https://the100.fandom.com/wiki/Character_Appearances,,,,,,,,,,,,,,,,,
Characters,https://the100.fandom.com/wiki/Characters,,,,,,,,,,,,,,,,,
Charles Pike,https://the100.fandom.com/wiki/Charles_Pike,https://static.wikia.nocookie.net/thehundred/images/7/70/S3_epiosde_4_-_Pike_pic_2.jpg/revision/latest/scale-to-width-down/267?cb=20160209065519,Wanheda (Part 2),Earth (current) The Ark (former) Arkadia (former),Stabbed in the stomach / blood loss,Pike Chancellor Paik kom Skaikru (Chancellor Pike of the Sky People),Perverse Instantiation (Part 2) (physical) What You Take With You (hallucination),"Deceased , 2150; Commander's Headquarters",,"Three , Six",Octavia Blake,Michael Beach,"300 Trikru warriors (with Bellamy , Hannah and 7 others) Lincoln",Male,Earth Skills Teacher (former) Chancellor of Arkadia (former),Sky People His Faction Resistance Against A.L.I.E.,,40s
Charlotte,https://the100.fandom.com/wiki/Charlotte,https://static.wikia.nocookie.net/thehundred/images/8/89/CharlotteFullCrop.jpg/revision/latest/scale-to-width-down/268?cb=20140510163119,Earth Kills,The Ark (former) Earth (former) The Camp (former),Suicide (jumped off a cliff),,Murphy's Law,Deceased,2137,One,Herself,Izabela Vidovic,Wells Jaha,Female,,Sky People The 100,Unnamed Father † Unnamed Mother †,12
Charmaine Diyoza,https://the100.fandom.com/wiki/Charmaine_Diyoza,https://static.wikia.nocookie.net/thehundred/images/c/cc/710_Diyoza.jpg/revision/latest/scale-to-width-down/268?cb=20200731125948,Eden,Earth (former) Shallow Valley (former) Asteroid Mining Penal Colony (former) Eligius IV (former) Sanctum (exiled) Alpha (former) Skyring (former) Bardo (former),Crystallized by Gen-9,Diyoza Colonel Mass murderer (by Madi) Miss Diyoza,A Little Sacrifice,"Deceased , 2281 ; Bardo",2000s; Earth,"Five , Six , Seven",Hope Diyoza (indirectly) Herself (directly),Ivana Miličević,Hundreds of civilians (bombing) Several prisoners Daniel Lee VI Victor Lee Several Children of Gabriel 4 Disciples,Female,Navy SEAL Officer (former) US Marine soldier (presumably; former) Leader of a faction of the Eligius Prisoners (former) Prisoner (former) Terrorist (former),US Navy (former) US Marines (presumably; former) United Liberation Army (former) Eligius Prisoners (former) Wonkru (former) Disciples (feigned),Unnamed father † Hope Diyoza (daughter) Octavia Blake (sister figure),"Mid-40s (biologically) 270s to 280s (chronologically, S6-S7)"
Chase,https://the100.fandom.com/wiki/Chase,https://static.wikia.nocookie.net/thehundred/images/d/d2/Chase.PNG/revision/latest?cb=20160316051239,Terms and Conditions,Earth (current) The Ark (former) Arkadia (former) City of Light Polis,Shot,,Perverse Instantiation (Part 1),Deceased,,Three,Pike and/or Indra A.L.I.E. (indirectly),Jared Kurtenbach,,Male,Arkadia Guard,Sky People Pike's Faction (former) A.L.I.E.'s Cult,,
Chris,https://the100.fandom.com/wiki/Chris,https://static.wikia.nocookie.net/thehundred/images/9/9b/2x16_Frantic_man_%28Chris%29.png/revision/latest/scale-to-width-down/268?cb=20160124213816,Blood Must Have Blood (Part 2),"Earth , Becca's Island",Gunshot wound to the chest,,Thirteen,Deceased,,"Two , Three",Himself,James Neate,Most of the human population of 2052 (unintentionally and indirectly) Himself,Male,Becca's assistant [ 1 ],Infinity Corporation Becca A.L.I.E.,,20s
Chris McMullin,https://the100.fandom.com/wiki/Chris_McMullin,https://static.wikia.nocookie.net/thehundred/images/f/f8/100DeliqentS1.PNG/revision/latest?cb=20150318071513,Pilot,Earth (current) The Ark (former) The camp,Bone Marrow Harvesting,,Blood Must Have Blood (Part 2),Deceased,,"One , Two",Dr. Lorelei Tsing (indirectly) Cage Wallace (indirectly),Unknown,,Male,,Sky People The 100,,16-18
Cillian,https://the100.fandom.com/wiki/Cillian,https://static.wikia.nocookie.net/thehundred/images/9/99/Cillian_square_crop_603.png/revision/latest/scale-to-width-down/268?cb=20200503122127,The Children of Gabriel,Sanctum,Suicide via slit throat,,The Face Behind the Glass,Deceased,,Six,Himself,Carlo Marks,,Male,Medical Doctor,Sanctumites (traitor) Children of Gabriel (spy),,early 30's
Clarke Griffin,https://the100.fandom.com/wiki/Clarke_Griffin,https://static.wikia.nocookie.net/thehundred/images/c/c8/Clarke_Season_7.jpg/revision/latest/scale-to-width-down/268?cb=20250610220415,Pilot,The Ark (former) Earth (current) The Camp (former) Mount Weather (former) Polis (former) Arkadia (former) Becca's Island (former) Second Dawn Bunker (current) Shallow Valley (former) Eligius IV (former) Bardo (former) Alpha (former) Sanctum (former),Heart stopped (temporary; revived),Princess Prisoner 319 Klark kom Skaikru (Clarke of the Sky People) Wanheda (Commander of Death) Mountain Slayer Skaikru Ambassador Fleimkepa (Flamekeeper) Commander (by Becca Franko ) Jaha Lite (by Jasper Jordan ) Natblida Bellamy 's Girlfriend (by Charmaine Diyoza ) Ferrari (by Josephine Lightbourne ) Josephine Lightbourne VIII The Key The Queen (by Sheidheda ) Baby (by Abby ) Honey (by Abby ) Traitor,The Last War,Alive,October 2131; The Ark,"One , Two , Three , Four , Five , Six , Seven",Gabriel Santiago,Eliza Taylor Ella Pitkin (child),"Atom (mercy kill) Caliban 300 Trikru warriors (with Raven and Jasper ) Finn Collins (mercy kill) 250 Grounders & Sky People in Tondc (indirectly) Dante Wallace 350 Mountain Men (with Bellamy ) Carl Emerson A.L.I.E. (terminated) Jenson Rabe Kara Cooper (with Bellamy ) ~400 members of Wonkru (indirectly, informed Diyoza that the eye was down) Joroum 2 Eligius Prisoners Paxton McCreary 2 Children of Gabriel Josephine Lightbourne Simone Lightbourne VII Miranda Mason IX Jasmine Mason VII Caleb Mason VIII Doucette Bellamy Blake 14 Disciples Bill Cadogan",Female,Co-leader of the 100 Med student (former) Skaikru Ambassador (former) Flamekeeper (former) Chancellor of Arkadia (acting; former) Host of Josephine Lightbourne (former) Co-leader of Wonkru (former),Finalkru Sky People The 100 Grounders Coalition Resistance Against A.L.I.E. Wonkru (former) Primes (by ruse),Abigail Griffin † (mother) Jake Griffin † (father) Madi Griffin (adoptive daughter) Lexa † (late girlfriend) Finn Collins † (former boyfriend),"17 (S1) 18 (S2-4) 24 (end of S4-7) 149 (chronologically, end of S5-7)"
