Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
Aiden (TV Universe),https://walkingdead.fandom.com/wiki/Aiden_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/2/21/Season_one_aiden.png/revision/latest/scale-to-width-down/268?cb=20240228215001,,,Elle - Sister (Unnamed) † - Unborn Child,Caucasian-American,Dead,,,,Mid to Late 30s,,Red,,1 ( The Walking Dead ) 1 ( The Ones Who Live ),Bailey † - Boyfriend,,,Female,Unknown,,,Breeda Wool,,,,
Aiden Monroe (TV Series),https://walkingdead.fandom.com/wiki/Aiden_Monroe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c6/Season_five_aiden_monroe.png/revision/latest/scale-to-width-down/267?cb=20191230200707,,,Reg Monroe † - Father Deanna Monroe † - Mother Spencer Monroe † - Brother,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Black,,2,,,,Male,Pre-Apocalypse Army R.O.T.C. College Student Post-Apocalypse Supply Runner for the Alexandria Safe Zone,,,Daniel Bonjour,,,,
Ainsley (TV Series),https://walkingdead.fandom.com/wiki/Ainsley_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/59/Season_ten_ainsley.png/revision/latest/scale-to-width-down/268?cb=20210308095003,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Dark Brown,,,,,,Female,Unknown,,,Haley Leary,,,,
Albert (TV Series),https://walkingdead.fandom.com/wiki/Albert_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4c/Season_five_albert.png/revision/latest/scale-to-width-down/268?cb=20210728022810,,,Unknown,Caucasian-American,Dead,,,,Early 20s,,Dark Brown,,2,,,,Male,Post-Apocalypse Former Security at Terminus,,,Benjamin Papac,,,,
Alden (TV Series),https://walkingdead.fandom.com/wiki/Alden_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/15/Season_eleven_alden.png/revision/latest/scale-to-width-down/268?cb=20210830161754,,,(Unnamed) † - Brother Adam Sutton - Adopted Son,Caucasian-American,Dead,,,,"22 ("" The Damned "") 23 ("" A New Beginning "") 29 ("" Who Are You Now? "") 30 ("" Lines We Cross "")",,Light Brown,,28,Enid † - Late Girlfriend,Brown,,Male,"Pre-Apocalypse Student Post-Apocalypse Former Worker for the Saviors Former Soldier for the Militia Former Construction Foreman, Blacksmith and Council Member [ 1 ] for the Hilltop Colony Soldier for the Coalition",,,Callan McAuliffe,,,,
Alek (TV Series),https://walkingdead.fandom.com/wiki/Alek_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c1/Season_nine_alek.png/revision/latest/scale-to-width-down/268?cb=20250625034225,,,Unknown,Caucasian-American,Dead,,,,Early 40s,,Brown,,,,,,Male,Post-Apocalypse Road Patrol between the joint communities,,,Jason Kirkpatrick,,,,
Alex (Alexandria),https://walkingdead.fandom.com/wiki/Alex_(Alexandria),https://static.wikia.nocookie.net/walkingdead/images/e/ec/Season_ten_alex.png/revision/latest/scale-to-width-down/268?cb=20191028155056,,,Unknown,Caucasian-American,Dead,,,,Mid 20s,,Dark Brown,,2,,,,Male,Pre-Apocalypse Student Post-Apocalypse Former Nurse for the Alexandria Safe Zone Doctor for the Hilltop Colony,,,Austin Freeman,,,Unknown Stand-In ( S9 ),
Alex (Terminus),https://walkingdead.fandom.com/wiki/Alex_(Terminus),https://static.wikia.nocookie.net/walkingdead/images/8/89/Season_four_alex.png/revision/latest/scale-to-width-down/268?cb=20250623020635,,,Mary † - Mother Gareth † - Brother,Caucasian-American,Dead,,,,Mid to Late 20s,,Black,,2,,,,Male,Unknown,,,Tate Ellington,,,,
Alexa Park (TV Series),https://walkingdead.fandom.com/wiki/Alexa_Park_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c9/Season_eleven_alexa_park.png/revision/latest/scale-to-width-down/268?cb=20220228024516,,,Unknown,Caucasian-American,Unknown,,,,Late 20s to Early 30s,,Blonde,,,,,,Female,Pre-Apocalypse Painter,,,Unknown,,,,
Alexandria Safe Zone (TV Universe),https://walkingdead.fandom.com/wiki/Alexandria_Safe_Zone_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/7f/Alexandria_S9.png/revision/latest/scale-to-width-down/268?cb=20190815212231,,,,,Active,,,Pre-Apocalypse Residential Development Post-Apocalypse Settlement Former Military Safe Zone Former Commonwealth Outpost and Labor Camp,,Virginia,,,,,,Outpost 22 (under the Commonwealth 's reign),,,"Alexandria, Virginia",,,,,,
Alfred (TV Series),https://walkingdead.fandom.com/wiki/Alfred_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f7/Season_ten_alfred.png/revision/latest/scale-to-width-down/268?cb=20250625033433,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Dark Brown (Graying),,3,,,,Male,Post-Apocalypse Soldier for the Coalition Guard for the Alexandria Safe Zone,,,David Shae,,,,
Alice (TV Series),https://walkingdead.fandom.com/wiki/Alice_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/cb/Season_nine_alice.png/revision/latest?cb=20200127065755,,,Frankie † - Adoptive Mother,African/Caucasian-American,Unknown,,,,"9-10 ("" Scars "") 15-16 ("" The Calm Before "")",,Brown,,2,,,,Female,Pre-Apocalypse Student,,,"Jaydin McCollum ("" Scars "")",,,"Unknown ("" The Calm Before "")",
Alisha (TV Series),https://walkingdead.fandom.com/wiki/Alisha_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1e/Season_four_alisha.png/revision/latest/scale-to-width-down/268?cb=20191119034019,,,Unknown,Caucasian/African/Asian-American,Dead,,,,Mid to Late 20s,,Brown,,4,Tara Chambler † - Girlfriend,,,Female,Pre-Apocalypse Army Reserve Post-Apocalypse Soldier for the Governor's Militia,,,Juliana Harkavy,,,,
Aliyah (TV Series),https://walkingdead.fandom.com/wiki/Aliyah_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/61/Season_eleven_aliyah.png/revision/latest/scale-to-width-down/268?cb=20230322022122,,,Nabila - Mother Jerry - Father Ezra - Brother Mariam - Sister,African/Samoan-American,Alive,,,,"4 ( Season 9 ) 5 ( Season 10 ) 6-7 ("" Rest in Peace "")",,Brown,,13,,,,Female,,,,Autumn Azul,,,,
Allen (TV Series),https://walkingdead.fandom.com/wiki/Allen_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/49/Season_three_allen.png/revision/latest/scale-to-width-down/268?cb=20230328225658,,,Donna † - Late Wife Ben † - Son,Caucasian-American,Dead,,,,Late 30s,,Brown,,7,,,,Male,Post-Apocalypse Soldier for the Woodbury Army,,,Daniel Thomas May,,,,
Alpha (TV Universe),https://walkingdead.fandom.com/wiki/Alpha_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/0/03/Season_ten_alpha.png/revision/latest/scale-to-width-down/268?cb=20210228061359,,,(Unnamed) † - Father Frank † - Late Husband Lydia - Daughter,Caucasian-American,Dead,,,,"Early to Mid 30s ("" Dee "") Late 30s to Early 40s ("" Adaptation "")",,Dirty Blonde (Shaved Head),,19 ( The Walking Dead ) 1 ( Tales ),Negan Smith - Lover,Blue,Dee Alpha Debbie (at the Fair ) Skin Queen (by Negan ),Female,Post-Apocalypse Former Janitor on Brooke's Steamboat Former Leader of the Whisperers,,,Samantha Morton,,,,
Alvarado (TV Series),https://walkingdead.fandom.com/wiki/Alvarado_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/14/508_Alvarado.png/revision/latest?cb=20141201041001,,,Unknown,Latino-American,Dead,,,,Early to Mid 30s,,Black,,4,,,,Male,Pre-Apocalypse Police Officer,,,Sammy Hadid,,,,
Alvaro (TV Series),https://walkingdead.fandom.com/wiki/Alvaro_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9d/Season_eight_alvaro.png/revision/latest/scale-to-width-down/268?cb=20190727025652,,,( Unnamed ) - Father,Latino-American,Dead,,,,Mid to Late 30s,,Black,,9,,,,Male,Post-Apocalypse Soldier for the Kingdom Soldier for the Militia,,,Carlos Navarro,,,,
Alves (TV Series),https://walkingdead.fandom.com/wiki/Alves_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/bf/Season_eleven_alves.png/revision/latest/scale-to-width-down/268?cb=20220328045709,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Black,,,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,J.R. Adduci,,,,
Amanda (TV Series),https://walkingdead.fandom.com/wiki/Amanda_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2d/Season_nine_amanda.png/revision/latest/scale-to-width-down/268?cb=20190709114524,,,Unknown,Caucasian-American,Unknown,,,,Late 20s,,Ginger,,,,,,Female,Unknown,,,Ashlyn Stallings,,,,
Amanda Shepherd (TV Series),https://walkingdead.fandom.com/wiki/Amanda_Shepherd_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f1/Season_five_officer_shepherd.png/revision/latest/scale-to-width-down/268?cb=20141128221422,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,3,,,,Female,Pre-Apocalypse Police Officer Post-Apocalypse Leader of Grady Memorial Hospital,,,Teri Wyble,,,,
Amber (TV Series),https://walkingdead.fandom.com/wiki/Amber_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b5/Season_eight_amber.png/revision/latest/scale-to-width-down/268?cb=20250715165122,,,(Unnamed) - Mother,Caucasian-American,Unknown,,,,Early 20s,,Blonde,,3,"Mark † - Late Boyfriend Negan Smith - Ex-""Husband""",Blue,,Female,Unknown,,,Autumn Dial,,,,
Amelia (TV Series),https://walkingdead.fandom.com/wiki/Amelia_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/29/Season_ten_amelia.png/revision/latest/scale-to-width-down/268?cb=20191104045329,,,Milo † - Son,Caucasian-American,Dead,,,,Late 30s,,Blonde,,,,,,Female,Unknown,,,Virginia Newcomb,,,,
Amy Harrison (TV Series),https://walkingdead.fandom.com/wiki/Amy_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9c/Season_one_amy.png/revision/latest?cb=20180905005113,,,Mrs. Harrison † - Mother Terry Harrison † - Father Andrea Harrison † - Sister,Caucasian-American,Dead,,,,24,,Blonde,,7,,Blue,,Female,Pre-Apocalypse College Student,,,Emma Bell,,,,
Ana (TV Series),https://walkingdead.fandom.com/wiki/Ana_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/55/Season_four_ana.png/revision/latest/scale-to-width-down/268?cb=20250624225425,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 20s,,Brown,,,Sam † - Boyfriend,,,Female,Unknown,,,Brina Palencia,,,,
Ancheta (TV Series),https://walkingdead.fandom.com/wiki/Ancheta_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c0/Season_eleven_ancheta.png/revision/latest/scale-to-width-down/268?cb=20211013223933,,,Unknown,Basque-American,Dead,,,,Late 30s to Early 40s,,Brown,,4,,,,Male,Pre-Apocalypse Combat Engineer for the U.S. Military Mercenary Post-Apocalypse Engineer for the Reapers,,,Dane Davenport,,,,
Andre Anthony (TV Series),https://walkingdead.fandom.com/wiki/Andre_Anthony_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/36/Season_four_michonne%27s_son.png/revision/latest/scale-to-width-down/268?cb=20140210205108,,,Michonne Grimes - Mother Mike † - Father R.J. Grimes - Half Brother Mrs. Hawthorne † - Maternal Grandmother,African-American,Dead,,,,3,,Brown,,,,Brown,Peanut (by Michonne ),Male,,,,Unknown,,,,
Andrea Harrison (TV Series),https://walkingdead.fandom.com/wiki/Andrea_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ec/Season_three_andrea.png/revision/latest/scale-to-width-down/268?cb=20210226031328,,,Mrs. Harrison † - Mother Terry Harrison † - Father Amy Harrison † - Sister,Caucasian-American,Dead,,,,"36 ("" Guts "") 37 ("" Seed "")",,Blonde,,33,Shane Walsh † - Ex-Lover Philip Blake † - Ex-Boyfriend,Blue,Blondie (by Merle ),Female,Pre-Apocalypse Civil Rights Lawyer Post-Apocalypse Former Supply Runner for the Atlanta Camp Former Lookout for the Greene Family Farm Former Guard for Woodbury,,,Laurie Holden,,,,
Andrew (TV Series),https://walkingdead.fandom.com/wiki/Andrew_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b7/Season_three_andrew.png/revision/latest/scale-to-width-down/268?cb=20210808114128,,,Unknown,African-American,Dead,,,,Mid 20s,,Brown,,3,,Brown,,Male,Unknown,,,Markice Moore,,,,
Andy (TV Series),https://walkingdead.fandom.com/wiki/Andy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/82/Season_eight_andy.png/revision/latest/scale-to-width-down/268?cb=20200517202701,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Brown,,5,,,,Male,Post-Apocalypse Food Exchanger for the Hilltop Colony Soldier for the Militia,,,Jeremy Palko,,,,
Anna (TV Series),https://walkingdead.fandom.com/wiki/Anna_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0b/Season_seven_anna.png/revision/latest/scale-to-width-down/268?cb=20180316234658,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,4,,,,Female,Unknown,,,Vanessa Cloke,,,,
Anne (TV Universe),https://walkingdead.fandom.com/wiki/Anne_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/8/8a/Season_one_jadis_stokes_towl.png/revision/latest/scale-to-width-down/268?cb=20240304190704,,,Unknown,Caucasian-American,Dead,,,,"Mid 30s ("" New Best Friends "") Early 40s ("" Quatervois "") Mid 40s ("" Gone "")",,Brown,,16 ( The Walking Dead ) 6 ( World Beyond ) 5 ( The Ones Who Live ),Gabriel Stokes - Ex-Lover,Brown,Jadis Stokes (fake identity),Female,Pre-Apocalypse Art Teacher Artist Post-Apocalypse Former Leader of the Scavengers Former Human Trafficker and Warrant Officer of the Civic Republic Military,,,Pollyanna McIntosh,,,,
Annette Greene (TV Series),https://walkingdead.fandom.com/wiki/Annette_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/bd/Season_two_annette_greene_alive.png/revision/latest/scale-to-width-down/268?cb=20130727231014,,,Hershel Greene † - Husband Shawn Greene † - Son Beth Greene † - Daughter Maggie Rhee - Stepdaughter Hershel Rhee - Step-Grandson Arnold Greene † - Stepnephew Glenn Rhee † - Stepson-In-Law Mr. Greene † - Father-In-Law,Caucasian-American,Dead,,,,Mid to Late 50s,,Brown,,2,,Brown,,Female,Pre-Apocalypse Farmhand on the Greene Family Farm,,,Amber Chaney,,,,
Annie (TV Series),https://walkingdead.fandom.com/wiki/Annie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3c/Season_six_annie.png/revision/latest/scale-to-width-down/268?cb=20210308013800,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Brown,,2,,,,Female,Post-Apocalypse Supply Runner for the Alexandria Safe Zone,,,Beth Keener,,,,
Annie Smith (TV Universe),https://walkingdead.fandom.com/wiki/Annie_Smith_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/75/Season_eleven_annie.png/revision/latest/scale-to-width-down/268?cb=20220923011355,,,Negan Smith - Husband Joshua Smith - Son Mrs. Smith † - Mother-In-Law Mr. Smith † - Father-In-Law,African-American,Alive,,,,Early to Mid 40s ( TV Series ) Late 40s to Early 50s ( Dead City ),,Black,,9 ( TV Series ) 2 ( Dead City ),,,,Female,Unknown,,,Medina Senghore,,,,
Anton (TV Series),https://walkingdead.fandom.com/wiki/Anton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f1/Season_eleven_anton.png/revision/latest/scale-to-width-down/268?cb=20221114230323,,,Unknown,African-American,Unknown,,,,Early 30s,,Black,,,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Onye Eme-Akwari,,,,
Aphid (TV Series),https://walkingdead.fandom.com/wiki/Aphid_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/54/Season_six_aphid.png/revision/latest/scale-to-width-down/268?cb=20200108012427,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Brown,,,,,,Male,Pre-Apocalypse Garbage Collector [ 1 ],,,Duke Jackson,,,,
April Martens (TV Series),https://walkingdead.fandom.com/wiki/April_Martens_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/aa/Season_eleven_april_martens.png/revision/latest/scale-to-width-down/268?cb=20220328045711,,,Mrs. Martens - Mother Mr. Martens - Father ( Unnamed ) - Son ( Unnamed ) - Daughter,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Female,Unknown,,,Wynn Everett,,,,
Arat (TV Series),https://walkingdead.fandom.com/wiki/Arat_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2f/Season_nine_arat.png/revision/latest/scale-to-width-down/268?cb=20251228072823,,,Unknown,Middle Eastern-American,Dead,,,,Mid to Late 20s,,Blonde (Dyed) Black,,11,,,,Female,Post-Apocalypse Former Lieutenant of the Saviors,,,Elizabeth Ludlow,,,,
Arnold Greene (TV Series),https://walkingdead.fandom.com/wiki/Arnold_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/73/Season_two_arnold_greene.png/revision/latest?cb=20131126233204,,,Hershel Greene † - Uncle Maggie Rhee - Cousin Beth Greene † - Cousin Shawn Greene † - Step-Cousin Josephine Greene † - Aunt Hershel Rhee - Cousin Glenn Rhee † - Cousin-In-Law,Irish-American,Dead,,,,Mid 20s,,Light Brown,,4,,Brown,,Male,Unknown,,,Tony Gowell,,,,
Ashley (TV Series),https://walkingdead.fandom.com/wiki/Ashley_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b4/Teacher_%28Lines_We_Cross%29.png/revision/latest/scale-to-width-down/268?cb=20211031020102,,,Unknown,Caucasian-American,Unknown,,,,Early to Mid 30s,,Brown,,,,,,Female,Pre-Apocalypse Assumed Teacher Post-Apocalypse Teacher at the Alexandria Safe Zone,,,Heather Gilliland,,,,
"Atlanta, Georgia (TV Universe)","https://walkingdead.fandom.com/wiki/Atlanta,_Georgia_(TV_Universe)",https://static.wikia.nocookie.net/walkingdead/images/b/b4/The_Walking_Dead_Atlanta_Scene.jpg/revision/latest/scale-to-width-down/268?cb=20260606110125,,,,,Overrun by the undead and abandoned; partly destroyed; pockets of survivors scattered in some areas,,,City,,Georgia,,,,,,,,,Atlanta,,,,,,
Atlanta Nursing Home,https://walkingdead.fandom.com/wiki/Atlanta_Nursing_Home,https://static.wikia.nocookie.net/walkingdead/images/e/ee/Atlanta_Nursing_Home.jpg/revision/latest/scale-to-width-down/268?cb=20111101050722,,TV Series,,,Inactive,,,Nursing Home,,Georgia,,,,,,,,,,,,""" Vatos """,,,
Atlanta Survivor Camp (TV Series),https://walkingdead.fandom.com/wiki/Atlanta_Survivor_Camp_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/82/AMC_TWD_Days_Gone_Bye.png/revision/latest/scale-to-width-down/268?cb=20230708193838,,TV Series,,,Abandoned,,,Campsite,,Georgia,,,,,,,,,Shirley Clarke Franklin Park,,,""" Days Gone Bye "" to "" Wildfire """,,,
Attila (TV Series),https://walkingdead.fandom.com/wiki/Attila_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c3/Season_eleven_attila.png/revision/latest/scale-to-width-down/268?cb=20221003182834,,,Unknown,African-American,Unknown,,,,Mid to Late 40s,,Black,,,,,,Male,Post-Apocalypse Wrestler,,,Raw Leiba,,,,
Austin (TV Series),https://walkingdead.fandom.com/wiki/Austin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5c/Season_eleven_austin.png/revision/latest/scale-to-width-down/268?cb=20220215203444,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Brown,,5,,,,Male,Pre-Apocalypse Soldier for the U.S. Military Mercenary,,,Lex Lauletta,,,,
Axel (TV Series),https://walkingdead.fandom.com/wiki/Axel_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9d/Season_three_axel.png/revision/latest/scale-to-width-down/268?cb=20210825100235,,,(Unnamed) - Brother,Caucasian-American,Dead,,,,Early to Mid 40s,,Blond,,8,,Blue,,Male,Pre-Apocalypse Possible Motorcycle Mechanic,,,Lew Temple,,,,
Bailey (TV Universe),https://walkingdead.fandom.com/wiki/Bailey_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/1/1f/Season_one_bailey.png/revision/latest/scale-to-width-down/268?cb=20240305011729,,,(Unnamed) † - Unborn Child,African-American,Dead,,,,Early to Mid 30s,,Black,,1 ( The Walking Dead ) 1 ( The Ones Who Live ),Aiden † - Late Girlfriend,,,Male,Unknown,,,Andrew Bachelor,,,,
Baker (TV Series),https://walkingdead.fandom.com/wiki/Baker_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/25/Season_eleven_baker.png/revision/latest/scale-to-width-down/268?cb=20220328045713,,,Unknown,African-American,Alive,,,,Early to Mid 30s,,Black,,3,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Terrence James,,,,
"Baltimore, Maryland","https://walkingdead.fandom.com/wiki/Baltimore,_Maryland",https://static.wikia.nocookie.net/walkingdead/images/f/fa/Baltimore_Flag.jpg/revision/latest/scale-to-width-down/268?cb=20250202074708,,,,,Overrun,,,City,,Maryland,,,,,,,,,Baltimore,,,,,,
Barbara (TV Series),https://walkingdead.fandom.com/wiki/Barbara_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/20/Season_eleven_barbara.png/revision/latest/scale-to-width-down/268?cb=20211011010414,,,( Unnamed ) † - Son ( Unnamed ) † - Daughter,Caucasian-American,Alive,,,,"Late 20s to Early 30s ("" Forget "") Late 30s to Early 40s ("" Evolution "")",,Auburn,,20,,,,Female,Post-Apocalypse Babysitter,,,Mandi Christine Kerr,,,,
Barnes (TV Series),https://walkingdead.fandom.com/wiki/Barnes_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f1/Season_six_barnes.png/revision/latest/scale-to-width-down/268?cb=20210304034459,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,2,,,,Male,Unknown,,,Justin Miles,,,,
